Sp,Binary,Ensemble.2,EnsembleBinary
Eptesicus nilssonii,1,0.23345635535338538,TRUE
Nyctalus lasiopterus,0,0.3536432235471871,TRUE
Cynopterus minutus,0,0.1604895361411942,TRUE
Hipposideros ater,0,0.15665066568371916,TRUE
Tylonycteris robustula,0,0.36483754607394003,TRUE
Rousettus spinalatus,0,0.16564762610470785,TRUE
Rhinolophus mitratus,0,0.16664506137873067,TRUE
Nanonycteris veldkampii,1,0.16321973652402197,TRUE
Rhinolophus eloquens,0,0.29793960608645864,TRUE
Pteropus hypomelanus,0,0.29688073273937365,TRUE
Hipposideros galeritus,1,0.24122900853271323,TRUE
Plecotus austriacus,0,0.1549619694443605,TRUE
Falsistrellus affinis,0,0.15847748790830385,TRUE
Murina cyclotis,0,0.1527536915256056,TRUE
Scotophilus nigrita,0,0.3581544088787081,TRUE
Ptenochirus jagori,1,0.26743164438811406,TRUE
Megaerops wetmorei,0,0.166876754292203,TRUE
Barbastella leucomelas,0,0.15406886660985863,TRUE
Eptesicus bottae,0,0.1615511191776341,TRUE
Rhinolophus acuminatus,1,0.17532048701136796,TRUE
Macroglossus minimus,1,0.36139569407473354,TRUE
Myotis capaccinii,0,0.3731012133277237,TRUE
Coelops frithii,0,0.16996710790519537,TRUE
Rhinolophus cornutus,1,0.3074893723983708,TRUE
Rhinolophus hildebrandtii,0,0.3238813721797862,TRUE
Eonycteris major,0,0.17573156320566233,TRUE
Myotis bechsteinii,0,0.16634223345868723,TRUE
Harpyionycteris whiteheadi,0,0.17620811064798217,TRUE
Hipposideros cineraceus,0,0.36659352036534393,TRUE
Rhinolophus borneensis,0,0.1799711450032448,TRUE
Cynopterus titthaecheilus,0,0.18305573736581604,TRUE
Epomops buettikoferi,1,0.18301408669147382,TRUE
Myotis oxygnathus,0,0.15950762329832688,TRUE
Nyctalus plancyi,0,0.39184263005281295,TRUE
Pteropus alecto,1,0.2860203402234242,TRUE
Artibeus jamaicensis,1,0.2782431795822758,TRUE
Scotophilus kuhlii,1,0.2878687571252459,TRUE
Artibeus lituratus,1,0.2796887221121807,TRUE
Epomops dobsonii,0,0.3881747685059981,TRUE
Pteropus scapulatus,0,0.3003873384455539,TRUE
Hipposideros diadema,0,0.3932275475754849,TRUE
Murina huttoni,0,0.17412666943873223,TRUE
Myotis laniger,0,0.1720923365027921,TRUE
Myonycteris relicta,0,0.1903657036947498,TRUE
Neoromicia nanus,0,0.43055584112958234,TRUE
Nycteris thebaica,0,0.3761598764500551,TRUE
Hipposideros bicolor,0,0.33345719476107155,TRUE
Hesperoptenus tickelli,0,0.17490492978781708,TRUE
Scotonycteris zenkeri,0,0.1928007801677641,TRUE
Tadarida aegyptiaca,0,0.18065439046126358,TRUE
Chironax melanocephalus,0,0.19149580410285286,TRUE
Neoromicia rendalli,0,0.17996542280080563,TRUE
Rhinolophus subbadius,0,0.20087894490278033,TRUE
Epomophorus crypturus,0,0.1938702787735475,TRUE
Rhinolophus alcyone,0,0.1986877323904927,TRUE
Rhinolophus bocharicus,0,0.2032085738601849,TRUE
Eptesicus gobiensis,0,0.1939150102990664,TRUE
Scotonycteris ophiodon,0,0.20387501601264776,TRUE
Balionycteris maculata,0,0.19801358653809475,TRUE
Otonycteris hemprichii,0,0.1921242612760562,TRUE
Murina aurata,0,0.4031713642705118,TRUE
Nyctalus aviator,0,0.19735595297867764,TRUE
Rhinolophus philippinensis,0,0.20761925926535374,TRUE
Megaderma spasma,0,0.20342602225534817,TRUE
Megaderma lyra,0,0.20042081868390058,TRUE
Myotis montivagus,0,0.18737696152005257,TRUE
Rousettus madagascariensis,0,0.2098901865886038,TRUE
Myotis chinensis,0,0.1835917328851185,TRUE
