"","names","pred.pos","correct","category"
"1","Ensemble",0.271505376344086,0.6,"Ensemble"
"2","Trait.1",0.443548387096774,0.925,"Trait"
"3","Trait.2",0.408602150537634,0.875,"Trait"
"4","Trait.3",0.809866392600206,0.972972972972973,"Trait"
"5","Hybrid",0.240037950664137,0.358974358974359,"Hybrid"
"6","Network.1",0.858267716535433,0.952380952380952,"Network"
"7","Network.2",0.224409448818898,0.0476190476190476,"Network"
"8","Network.3",0.637795275590551,0.571428571428571,"Network"
"9","Network.4",0.377952755905512,0.428571428571429,"Network"
