Training data,New data,Ensemble,Trait.1,Trait.2,Trait.3,Hybrid,Network.1,Network.2,Network.3,Network.4
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,True +,False -,False -,True +,False -,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,Suspected,Unlikely,Unlikely,Unlikely
Reported,Reported,False -,True +,False -,False -,False -,True +,True +,True +,True +
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,False -,True +,False -,False -,False -,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Reported,Reported,True +,False -,False -,False -,False -,True +,True +,True +,True +
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Suspected,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Reported,Reported,False -,False -,True +,False -,True +,NA,False -,False -,False -
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Suspected,Unlikely,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Unlikely,Unlikely,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Suspected
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Unlikely,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,NA,NA,NA,NA,NA,NA
Reported,Reported,False -,False -,False -,False -,False -,NA,False -,False -,False -
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Unlikely,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,NA,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,NA,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Unlikely,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Suspected,Unlikely,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,Suspected,Unlikely,Suspected,Unlikely
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Suspected,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Suspected,Suspected,NA,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Unlikely,Suspected,Unlikely,NA,NA,NA,NA
Unreported,Unreported,Unlikely,Unlikely,Suspected,Suspected,Unlikely,NA,NA,NA,NA
