"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","Rank","PropRank","InSample"
"Hipposideros caffer",1,0.285200411099692,0.00896057347670251,0.488188976377953,0.133858267716535,0.00537634408602151,1,0.0809399477806789,0.0673943996203132,0.190921052631579,0.392350776638448,0.619436642274892,0.342603453018098,0.964968577194413,0.2,0.302414121311759,0.483301832213823,85.4375,0.258739865019737,1
"Barbastella barbastellus",0,0.0899280575539568,0.0591397849462366,0.100393700787402,0.31496062992126,0.112007168458781,0.36426116838488,0.60313315926893,0.428096820123398,0.228157894736842,0.302239565913198,0.893975496378212,0.231219995179843,0.8640081874925,0.4,0.181535000432638,0.195565582836719,125.4375,0.258990061180605,1
"Nyctalus noctula",1,0.161356628982528,0.0259856630824373,0.228346456692913,0.303149606299213,0.010752688172043,1,0.227154046997389,0.120550545799715,0.216184210526316,0.346530356420499,0.743308955637129,0.231575564020647,0.960583684278914,0.2,0.258458077355715,0.420552500541698,81.125,0.25966195450328,1
"Taphozous melanopogon",0,0.238437821171634,0.0501792114695341,0.100393700787402,0.318897637795276,0.00896057347670251,0.36426116838488,0.60313315926893,0.413858566682487,0.199605263157895,0.310022347342312,0.893975496378212,0.231060656565544,0.96240168994933,0.4,0.181535000432638,0.201152399699041,126.125,0.262265229879605,1
"Rhinolophus pearsonii",1,0.0164439876670093,0.0439068100358423,0.937007874015748,0.464566929133858,0.0206093189964158,NA,0.383812010443864,0.00474608448030375,0.2575,0.315023179921979,0.351372826632517,0.183929405053331,0.952425984834292,NA,0.236480055377693,0.714913943815014,74.6428571428571,0.267299002110435,1
"Plecotus auritus",0,0.112024665981501,0.203405017921147,0.100393700787402,0.291338582677165,0.0555555555555556,0.36426116838488,0.60313315926893,0.409112482202183,0.225921052631579,0.198483731211201,0.893975496378212,0.232011094976857,0.920244434504744,0.4,0.181535000432638,0.204061957334779,137.125,0.267403041597345,1
"Rhinolophus mehelyi",1,0.104830421377184,0.0304659498207885,0.856299212598425,0.433070866141732,0.0672043010752688,NA,0.383812010443864,0.007593735168486,0.226447368421053,0.338663241988743,0.403718736183378,0.194216983379659,0.90253073328034,NA,0.236480055377693,0.646420978384491,88.5714285714286,0.269039499517964,1
"Myotis blythii",0,0.0441932168550874,0.189964157706093,0.161417322834646,0.271653543307087,0.03584229390681,0.36426116838488,0.60313315926893,0.489795918367347,0.242368421052632,0.205145880274743,0.814703447715736,0.235507264443134,0.937614680699499,0.4,0.181535000432638,0.170204696909338,136.1875,0.27003259757886,1
"Myotis myotis",0,0.0668036998972251,0.218637992831541,0.161417322834646,0.267716535433071,0.0985663082437276,0.36426116838488,0.60313315926893,0.39297579496915,0.235263157894737,0.187944655097604,0.814703447715736,0.236649229660375,0.875580095031663,0.4,0.181535000432638,0.212075473555539,138.8125,0.271688997732896,1
"Pipistrellus nathusii",1,0.130010277492292,0.0600358422939068,0.228346456692913,0.28740157480315,0.125448028673835,1,0.227154046997389,0.115804461319411,0.223026315789474,0.301846159764113,0.743308955637129,0.233322126337348,0.851033139250872,0.2,0.258458077355715,0.429554975055694,96.9375,0.271775086034112,1
"Pipistrellus kuhlii",1,0.065775950668037,0.0331541218637993,0.574803149606299,0.153543307086614,0.117383512544803,1,0.130548302872063,0.109159943046986,0.235394736842105,0.331709916387308,0.535089797132231,0.30205586491062,0.859815424142974,0.2,0.280436099333737,0.436752749655901,87.8125,0.273046035961075,1
"Rhinolophus blasii",1,0.0498458376156218,0.0161290322580645,0.937007874015748,0.468503937007874,0.0600358422939068,NA,0.383812010443864,0.0056953013763645,0.239736842105263,0.364260517600637,0.351372826632517,0.183816104244141,0.911341730260849,NA,0.236480055377693,0.691009130252593,81.4285714285714,0.274432833573063,1
"Rhinolophus clivosus",1,0.0883864337101747,0.0492831541218638,0.52755905511811,0.228346456692913,0.0681003584229391,1,0.227154046997389,0.0123398196487897,0.228289473684211,0.310820942891525,0.599395432266425,0.272638296114225,0.902353702918835,0.2,0.258458077355715,0.636033588735371,76.375,0.275146165589022,1
"Rhinolophus hipposideros",1,0.0596094552929085,0.0313620071684588,0.856299212598425,0.47244094488189,0.112903225806452,NA,0.383812010443864,0.0218319886093972,0.237105263157895,0.338101166350899,0.403718736183378,0.183704910443957,0.863779611733054,NA,0.236480055377693,0.583601686735695,93.2857142857143,0.276894120685914,1
"Rhinolophus euryale",1,0.104830421377184,0.0268817204301075,0.62992125984252,0.192913385826772,0.0537634408602151,1,0.227154046997389,0.00284765068818225,0.226447368421053,0.344522173700848,0.502929309107118,0.293435947494994,0.92367528120969,0.2,0.258458077355715,0.783100990327278,74.125,0.279788990752796,1
"Rhinolophus macrotis",1,0.00719424460431655,0.0689964157706093,0.937007874015748,0.476377952755905,0.0896057347670251,NA,0.383812010443864,0.00854295206454675,0.265,0.290271122467929,0.351372826632517,0.183312252868019,0.883287605830466,NA,0.236480055377693,0.645477188921834,89.3571428571429,0.281648169203145,1
"Pteropus scapulatus",0,0.306269270298047,0.25089605734767,0.216535433070866,0.173228346456693,0.210573476702509,0.151202749140893,0.501305483028721,0.494542002847651,0.188684210526316,0.169594473137066,0.754713681703482,0.297883587482818,0.735545879894011,0.6,0.20351302241066,0.169092254801311,193.875,0.288069102361631,1
"Epomophorus labiatus",1,0.117163412127441,0.014336917562724,0.635826771653543,0.236220472440945,0.0645161290322581,1,0.227154046997389,0.0313241575700047,0.225263157894737,0.373719777255205,0.491960088587589,0.23998147781372,0.904172979944959,0.2,0.258458077355715,0.553461552985153,80.6875,0.290817738423038,1
"Myotis dasycneme",1,0.210688591983556,0.0913978494623656,0.228346456692913,0.299212598425197,0.0519713261648745,1,0.227154046997389,0.24015187470337,0.203947368421053,0.275799550516705,0.743308955637129,0.231579471603637,0.924813935568674,0.2,0.258458077355715,0.280136994768181,117.625,0.293615343053708,1
"Pteronotus parnellii",1,0.981500513874615,0.603046594982079,0.0590551181102362,0.125984251968504,0.276881720430108,0.151202749140893,0.0809399477806789,0.083531086853346,0.106710526315789,0.0512132768832241,0.941052182047213,0.348033342911709,0.640537033001901,0.6,0.302414121311759,0.460798672181219,263.6875,0.295267747892557,1
"Rhinolophus thomasi",1,0.02672147995889,0.117383512544803,0.856299212598425,0.480314960629921,0.184587813620072,NA,0.383812010443864,0.0332225913621262,0.249210526315789,0.254240251381667,0.403718736183378,0.183062693599787,0.781453879935714,NA,0.236480055377693,0.543558572737677,115.857142857143,0.297477368736872,1
"Sturnira lilium",0,0.695272353545735,0.400537634408602,0.047244094488189,0.062992125984252,0.245519713261649,0.151202749140893,0.308093994778068,0.472710014238253,0.148026315789474,0.0987509417522332,0.9719980773723,0.403941427400365,0.678885726547556,0.6,0.247469066366704,0.173960971651201,250.5625,0.297946584980705,1
"Megaerops niphanae",1,0.0498458376156218,0.00627240143369176,0.856299212598425,0.633858267716535,0.0940860215053763,NA,0.383812010443864,0.087327954437589,0.239736842105263,0.418660565567197,0.403718736183378,0.156261199944803,0.882501046784936,NA,0.236480055377693,0.458803238210407,100.642857142857,0.301643100821586,1
"Scotophilus dinganii",1,0.0760534429599178,0.0510752688172043,0.52755905511811,0.295275590551181,0.0860215053763441,1,0.227154046997389,0.173706691979117,0.232236842105263,0.309565741432431,0.599395432266425,0.231656513827418,0.887151524132102,0.2,0.258458077355715,0.339840008507436,101,0.304605700224908,1
"Dyacopterus spadiceus",1,0.202980472764645,0.0474910394265233,0.856299212598425,0.496062992125984,0.137992831541219,NA,0.383812010443864,0.0408163265306122,0.205526315789474,0.312317668513223,0.403718736183378,0.165001844395503,0.836758970096641,NA,0.236480055377693,0.527066137803461,123.5,0.309350697918753,1
"Epomops franqueti",1,0.16289825282631,0.028673835125448,0.897637795275591,0.0708661417322835,0.170250896057348,1,0.0391644908616188,0.11390602752729,0.216052631578947,0.339780093489772,0.390849475518974,0.401062722280504,0.805354331344155,0.2,0.324392143289781,0.430722965023431,112.4375,0.310424679925736,1
"Scotophilus leucogaster",1,0.158787255909558,0.0448028673835125,0.52755905511811,0.311023622047244,0.0448028673835125,1,0.227154046997389,0.200284765068818,0.216973684210526,0.314961730886739,0.599395432266425,0.231321849007333,0.929871495829192,0.2,0.258458077355715,0.308340801397487,108.4375,0.314301809988518,1
"Vespertilio sinensis",1,0.278006166495375,0.1084229390681,0.259842519685039,0.389763779527559,0.0833333333333333,1,0.227154046997389,0.186995728523968,0.191447368421053,0.263628519068567,0.664416083201355,0.225886585363534,0.887405511766832,0.2,0.258458077355715,0.318605017545189,129.4375,0.316689814203846,1
"Rhinolophus rex",1,0.289311408016444,0.10573476702509,0.52755905511811,0.224409448818898,0.17831541218638,1,0.227154046997389,0.00664451827242525,0.190657894736842,0.264914751072919,0.599395432266425,0.27297174024589,0.792918074383161,0.2,0.258458077355715,0.658442906186048,123.1875,0.319891082054342,1
"Hipposideros pratti",1,0.239465570400822,0.0770609318996416,0.52755905511811,0.362204724409449,0.0421146953405018,1,0.227154046997389,0.106312292358804,0.199473684210526,0.28099999513507,0.599395432266425,0.228323920095238,0.932143947815619,0.2,0.258458077355715,0.438444684533607,111.625,0.32273391456559,1
"Hypsugo savii",1,0.156217882836588,0.03584229390681,0.52755905511811,0.354330708661417,0.14336917562724,1,0.227154046997389,0.144280968201234,0.217368421052632,0.321282136681133,0.599395432266425,0.228703653525865,0.83098929203498,0.2,0.258458077355715,0.386344593005907,114.625,0.323594266418599,1
"Rhinopoma hardwickii",1,0.383864337101747,0.017921146953405,0.52755905511811,0.381889763779528,0.0295698924731183,1,0.227154046997389,0.064546748932131,0.180921052631579,0.36004866293831,0.599395432266425,0.22687106215276,0.943141131620878,0.2,0.258458077355715,0.486305886489433,114.3125,0.329063123919429,1
"Pteropus vampyrus",0,0.0678314491264132,0.137096774193548,0.641732283464567,0.374015748031496,0.0492831541218638,0.36426116838488,0.60313315926893,0.444233507356431,0.235131578947368,0.240323938103381,0.48185660338237,0.227337921527389,0.927002604296489,0.4,0.181535000432638,0.186269338932945,146.0625,0.335198405493516,1
"Pteropus lylei",0,0.18705035971223,0.10663082437276,0.559055118110236,0.338582677165354,0.126344086021505,0.36426116838488,0.60313315926893,0.416706217370669,0.210394736842105,0.264735823883621,0.545145676493606,0.230347694843241,0.850566646944694,0.4,0.181535000432638,0.200172734002253,159.6875,0.337720451300821,1
"Hipposideros larvatus",0,0.13360739979445,0.137992831541219,0.811023622047244,0.385826771653543,0.0304659498207885,0.36426116838488,0.60313315926893,0.24110109159943,0.2225,0.239900887200605,0.430404575002378,0.225943357342568,0.943044391786586,0.4,0.181535000432638,0.278843587186588,130.5625,0.338426499263811,1
"Neoromicia capensis",1,0.12589928057554,0.0725806451612903,0.52755905511811,0.307086614173228,0.269713261648746,1,0.227154046997389,0.180351210251542,0.223684210526316,0.286726119358282,0.599395432266425,0.231357344527662,0.647688731596519,0.2,0.258458077355715,0.328259722962298,136.9375,0.338793014240731,1
"Eptesicus fuscus",0,0.297019527235355,0.727598566308244,0.0137795275590551,0.094488188976378,0.35573476702509,0.151202749140893,0.459530026109661,0.626483151400095,0.189342105263158,0.0320832039937976,1.03171415912897,0.362187749320375,0.569511084747405,0.6,0.225491044388682,0.134001659279776,286.9375,0.340729562969346,1
"Triaenops persicus",1,0.484583761562179,0.0385304659498208,0.52755905511811,0.358267716535433,0.014336917562724,1,0.227154046997389,0.0863787375415282,0.174473684210526,0.319352464709796,0.599395432266425,0.228418491725232,0.958096856112857,0.2,0.258458077355715,0.458962259030059,129.4375,0.342101337658398,1
"Mops condylurus",1,0.374614594039054,0.0340501792114695,0.52755905511811,0.377952755905512,0.0277777777777778,1,0.227154046997389,0.169909824394874,0.181447368421053,0.325777267511995,0.599395432266425,0.227246317599935,0.944102458476509,0.2,0.258458077355715,0.348385870838307,128.9375,0.342377279180523,1
"Myotis emarginatus",1,0.112024665981501,0.184587813620072,0.52755905511811,0.350393700787402,0.0922939068100358,1,0.227154046997389,0.248694826767916,0.225921052631579,0.20916169054564,0.599395432266425,0.229820075983588,0.882799410742652,0.2,0.258458077355715,0.270306352129959,136.5,0.342838502010303,1
"Hipposideros bicolor",0,0.528263103802672,0.270609318996416,0.240157480314961,0.334645669291339,0.238351254480287,0.36426116838488,0.60313315926893,0.181300427147603,0.172236842105263,0.157533549346162,0.730814943105617,0.230742756519431,0.683140722167644,0.4,0.181535000432638,0.325280520338393,198.4375,0.345090197710886,1
"Pteropus hypomelanus",0,0.245118191161357,0.102150537634409,0.559055118110236,0.322834645669291,0.120071684587814,0.36426116838488,0.60313315926893,0.485049833887043,0.198421052631579,0.26731446303007,0.545145676493606,0.231046868685183,0.857083312925379,0.4,0.181535000432638,0.171332581318792,173.75,0.350209292337995,1
"Pipistrellus hesperidus",1,0.154162384378212,0.0376344086021505,0.856299212598425,0.708661417322835,0.176523297491039,NA,0.383812010443864,0.152823920265781,0.217894736842105,0.319368797203369,0.403718736183378,0.155289183533568,0.794843834429756,NA,0.236480055377693,0.375140475555045,145.857142857143,0.352845235871758,1
"Myotis nigricans",0,0.2327852004111,0.661290322580645,0.0137795275590551,0.106299212598425,0.398745519713262,0.151202749140893,0.459530026109661,0.837209302325581,0.200394736842105,0.0428375546359936,1.03171415912897,0.361567268295189,0.551276478410699,0.6,0.225491044388682,0.0749843214097418,304,0.357605232554828,1
"Glossophaga soricina",0,0.774409044193217,0.712365591397849,0.047244094488189,0.0551181102362205,0.279569892473118,0.151202749140893,0.308093994778068,0.535358329378263,0.139210526315789,0.0342798579388568,0.9719980773723,0.409110327517317,0.638600016157084,0.6,0.247469066366704,0.156517860606888,316.4375,0.357920225760727,1
"Megaloglossus woermanni",1,0.171120246659815,0.0905017921146953,0.52755905511811,0.279527559055118,0.489247311827957,1,0.227154046997389,0.0901756051257712,0.213289473684211,0.276609969898196,0.599395432266425,0.234873438466191,0.448995097534798,0.2,0.258458077355715,0.453685411071741,162.8125,0.359410702112357,1
"Rhinolophus eloquens",0,0.0811921891058582,0.362007168458781,0.97244094488189,0.220472440944882,0.203405017921147,NA,0.60313315926893,0.0816326530612245,0.230263157894737,0.109245726899578,0.278204702158004,0.27778725574355,0.75147642972097,NA,0.181535000432638,0.462329179461715,173.5,0.360611939091816,1
"Tadarida brasiliensis",0,0.751284686536485,0.695340501792115,0.0137795275590551,0.114173228346457,0.328853046594982,0.151202749140893,0.459530026109661,0.371143806359753,0.141842105263158,0.0367639279541304,1.03171415912897,0.358625873812818,0.594154968604415,0.6,0.225491044388682,0.220301782750478,300.9375,0.360663446554925,1
"Cynopterus horsfieldii",1,0.104830421377184,0.0887096774193548,0.856299212598425,0.866141732283465,0.172939068100358,NA,0.383812010443864,0.0550545799715235,0.226447368421053,0.278267934879003,0.403718736183378,0.153104578611023,0.802655152176542,NA,0.236480055377693,0.499129396818589,137.571428571429,0.361112386027739,1
"Chaerephon plicatus",1,0.325796505652621,0.0815412186379928,0.635826771653543,0.421259842519685,0.0779569892473118,1,0.227154046997389,0.122448979591837,0.186447368421053,0.279831861599538,0.491960088587589,0.220101404907562,0.895021155149887,0.2,0.258458077355715,0.414324266897949,135.1875,0.361498044287547,1
"Molossus rufus",0,0.831449126413155,0.67831541218638,0.0236220472440945,0.0590551181102362,0.410394265232975,0.0412371134020619,0.308093994778068,0.580920740389179,0.131842105263158,0.0403672884143963,1.02346478379347,0.406190061273898,0.534991648171015,0.8,0.247469066366704,0.143057617623619,340.25,0.366635977219519,1
"Pteronotus davyi",1,0.778006166495375,0.579749103942652,0.0551181102362205,0.18503937007874,0.546594982078853,0.36426116838488,0.130548302872063,0.30374940673944,0.138684210526316,0.0541436511649506,0.943420492917888,0.296511731876703,0.394662274813465,0.4,0.280436099333737,0.245179196314573,309.125,0.367883326353528,1
"Ptenochirus jagori",1,0.312435765673176,0.148745519713262,0.856299212598425,0.602362204724409,0.242831541218638,NA,0.383812010443864,0.0465116279069767,0.188289473684211,0.227228970929963,0.403718736183378,0.156687877892824,0.680906641172352,NA,0.236480055377693,0.51936722651131,176.285714285714,0.370428268896964,1
"Pipistrellus pygmaeus",1,0.182425488180884,0.0931899641577061,0.856299212598425,0.84251968503937,0.132616487455197,NA,0.383812010443864,0.112956810631229,0.210789473684211,0.274065011468893,0.403718736183378,0.153352731834776,0.846354382608249,NA,0.236480055377693,0.430802066838826,150.5,0.371974236929525,1
"Ia io",1,0.0575539568345324,0.0627240143369176,0.856299212598425,0.889763779527559,0.0412186379928315,NA,0.383812010443864,0.31703844328429,0.237368421052632,0.299424952285706,0.403718736183378,0.152666032075432,0.932267903297865,NA,0.236480055377693,0.238311478566066,146.142857142857,0.372630007859774,1
"Hipposideros ruber",1,0.453751284686536,0.132616487455197,0.52755905511811,0.37007874015748,0.14426523297491,1,0.227154046997389,0.136687233032748,0.176184210526316,0.243779107658003,0.599395432266425,0.227468376839839,0.830771124906345,0.2,0.258458077355715,0.39160844256425,163.9375,0.374014010052796,1
"Desmodus rotundus",0,0.811408016443988,0.688172043010753,0.047244094488189,0.0669291338582677,0.260752688172043,0.151202749140893,0.308093994778068,0.659705742762221,0.135131578947368,0.0379525256571107,0.9719980773723,0.403328093954675,0.655659502936962,0.6,0.247469066366704,0.123256468762242,331.6875,0.374188557831803,1
"Artibeus phaeotis",1,0.813463514902364,0.433691756272401,0.0669291338582677,0.0748031496062992,0.85752688172043,0.36426116838488,0.0391644908616188,0.358803986710963,0.135,0.0891522874910032,0.930879530313294,0.398633999937913,0.15297034781389,0.4,0.324392143289781,0.223428974434433,338.375,0.376080510289653,1
