"","Sp","hOrder","hFamily","hGenus"
"379","Rhogeessa_io","Chiroptera","Vespertilionidae","Rhogeessa"
"380","Rucervus_eldii","Artiodactyla","Cervidae","Rucervus"
"381","Scotozous_dormeri","Chiroptera","Vespertilionidae","Scotozous"
"382","Suncus_murinus","Soricomorpha","Soricidae","Suncus"
"383","Typhlomys_cinereus","Rodentia","Platacanthomyidae","Typhlomys"
"384","Bandicota_indica","Rodentia","Muridae","Bandicota"
"385","Blarinella_griselda","Soricomorpha","Soricidae","Blarinella"
"386","Callosciurus_inornatus","Rodentia","Sciuridae","Callosciurus"
"387","Chaerephon_ansorgei","Chiroptera","Molossidae","Chaerephon"
"388","Crocidura_beccarii","Soricomorpha","Soricidae","Crocidura"
"389","Crocidura_maxi","Soricomorpha","Soricidae","Crocidura"
"390","Diclidurus_albus","Chiroptera","Emballonuridae","Diclidurus"
"391","Dremomys_pernyi","Rodentia","Sciuridae","Dremomys"
