"","Sp","hOrder","hFamily","hGenus"
"64","Rhinolophus_hillorum","Chiroptera","Rhinolophidae","Rhinolophus"
"65","Rousettus_amplexicaudatus","Chiroptera","Pteropodidae","Rousettus"
"66","Aselliscus_stoliczkanus","Chiroptera","Hipposideridae","Aselliscus"
"67","Hipposideros_armiger","Chiroptera","Hipposideridae","Hipposideros"
"68","Hipposideros_cervinus","Chiroptera","Hipposideridae","Hipposideros"
"69","Nycteris_javanica","Chiroptera","Nycteridae","Nycteris"
"70","Rhinolophus_inops","Chiroptera","Rhinolophidae","Rhinolophus"
"71","Rhinolophus_mehelyi","Chiroptera","Rhinolophidae","Rhinolophus"
"72","Scotophilus_kuhlii","Chiroptera","Vespertilionidae","Scotophilus"
"73","Kerivoula_hardwickii","Chiroptera","Vespertilionidae","Kerivoula"
"74","Myotis_altarium","Chiroptera","Vespertilionidae","Myotis"
"75","Rhinolophus_deckenii","Chiroptera","Rhinolophidae","Rhinolophus"
"76","Rhinolophus_euryale","Chiroptera","Rhinolophidae","Rhinolophus"
"77","Megaderma_spasma","Chiroptera","Megadermatidae","Megaderma"
"78","Rhinolophus_cognatus","Chiroptera","Rhinolophidae","Rhinolophus"
"79","Rhinolophus_fumigatus","Chiroptera","Rhinolophidae","Rhinolophus"
"80","Rhinolophus_simulator","Chiroptera","Rhinolophidae","Rhinolophus"
"81","Hipposideros_doriae","Chiroptera","Hipposideridae","Hipposideros"
"82","Hipposideros_dyacorum","Chiroptera","Hipposideridae","Hipposideros"
"83","Hipposideros_ridleyi","Chiroptera","Hipposideridae","Hipposideros"
"84","Pipistrellus_tenuis","Chiroptera","Vespertilionidae","Pipistrellus"
"85","Chaerephon_plicatus","Chiroptera","Molossidae","Chaerephon"
"86","Miniopterus_pusillus","Chiroptera","Vespertilionidae","Miniopterus"
"87","Rhinolophus_euryotis","Chiroptera","Rhinolophidae","Rhinolophus"
"88","Rhinolophus_megaphyllus","Chiroptera","Rhinolophidae","Rhinolophus"
"89","Rhinolophus_swinnyi","Chiroptera","Rhinolophidae","Rhinolophus"
"90","Rhinolophus_alcyone","Chiroptera","Rhinolophidae","Rhinolophus"
"91","Rhinolophus_landeri","Chiroptera","Rhinolophidae","Rhinolophus"
"92","Glischropus_tylopus","Chiroptera","Vespertilionidae","Glischropus"
"93","Hipposideros_turpis","Chiroptera","Hipposideridae","Hipposideros"
"94","Rhinolophus_denti","Chiroptera","Rhinolophidae","Rhinolophus"
"95","Myotis_formosus","Chiroptera","Vespertilionidae","Myotis"
"96","Pipistrellus_abramus","Chiroptera","Vespertilionidae","Pipistrellus"
"97","Saccolaimus_saccolaimus","Chiroptera","Emballonuridae","Saccolaimus"
"98","Tadarida_insignis","Chiroptera","Molossidae","Tadarida"
"99","Taphozous_melanopogon","Chiroptera","Emballonuridae","Taphozous"
"100","Kerivoula_lenis","Chiroptera","Vespertilionidae","Kerivoula"
"101","Macroglossus_sobrinus","Chiroptera","Pteropodidae","Macroglossus"
"102","Harpiocephalus_harpia","Chiroptera","Vespertilionidae","Harpiocephalus"
"103","Harpiocephalus_mordax","Chiroptera","Vespertilionidae","Harpiocephalus"
"104","Ia_io","Chiroptera","Vespertilionidae","Ia"
"105","Rousettus_leschenaultii","Chiroptera","Pteropodidae","Rousettus"
"106","Scotomanes_ornatus","Chiroptera","Vespertilionidae","Scotomanes"
"107","Coelops_robinsoni","Chiroptera","Hipposideridae","Coelops"
"108","Cynopterus_minutus","Chiroptera","Pteropodidae","Cynopterus"
"109","Kerivoula_pellucida","Chiroptera","Vespertilionidae","Kerivoula"
"110","Myotis_chinensis","Chiroptera","Vespertilionidae","Myotis"
"111","Myotis_fimbriatus","Chiroptera","Vespertilionidae","Myotis"
"112","Myotis_horsfieldii","Chiroptera","Vespertilionidae","Myotis"
"113","Pteropus_vampyrus","Chiroptera","Pteropodidae","Pteropus"
"114","Tylonycteris_robustula","Chiroptera","Vespertilionidae","Tylonycteris"
"115","Arielulus_circumdatus","Chiroptera","Vespertilionidae","Arielulus"
"116","Cheiromeles_torquatus","Chiroptera","Molossidae","Cheiromeles"
"117","Cynopterus_brachyotis","Chiroptera","Pteropodidae","Cynopterus"
"118","Falsistrellus_affinis","Chiroptera","Vespertilionidae","Falsistrellus"
"119","Murina_tubinaris","Chiroptera","Vespertilionidae","Murina"
"120","Myotis_annectans","Chiroptera","Vespertilionidae","Myotis"
"121","Myotis_laniger","Chiroptera","Vespertilionidae","Myotis"
"122","Pipistrellus_javanicus","Chiroptera","Vespertilionidae","Pipistrellus"
"123","Falsistrellus_mordax","Chiroptera","Vespertilionidae","Falsistrellus"
"124","Murina_huttoni","Chiroptera","Vespertilionidae","Murina"
"125","Myotis_frater","Chiroptera","Vespertilionidae","Myotis"
"126","Scotophilus_heathii","Chiroptera","Vespertilionidae","Scotophilus"
"127","Eptesicus_pachyotis","Chiroptera","Vespertilionidae","Eptesicus"
"128","Hesperoptenus_blanfordi","Chiroptera","Vespertilionidae","Hesperoptenus"
"129","Kerivoula_picta","Chiroptera","Vespertilionidae","Kerivoula"
"130","Miniopterus_magnater","Chiroptera","Vespertilionidae","Miniopterus"
"131","Murina_cyclotis","Chiroptera","Vespertilionidae","Murina"
"132","Murina_suilla","Chiroptera","Vespertilionidae","Murina"
"133","Myotis_adversus","Chiroptera","Vespertilionidae","Myotis"
"134","Myotis_montivagus","Chiroptera","Vespertilionidae","Myotis"
"135","Myotis_siligorensis","Chiroptera","Vespertilionidae","Myotis"
"136","Nycteris_tragata","Chiroptera","Nycteridae","Nycteris"
"137","Arctonyx_collaris","Carnivora","Mustelidae","Arctonyx"
"138","Barbastella_leucomelas","Chiroptera","Vespertilionidae","Barbastella"
"139","Budorcas_taxicolor","Artiodactyla","Bovidae","Budorcas"
"140","Chironax_melanocephalus","Chiroptera","Pteropodidae","Chironax"
"141","Emballonura_alecto","Chiroptera","Emballonuridae","Emballonura"
"142","Hipposideros_lekaguli","Chiroptera","Hipposideridae","Hipposideros"
"143","Taphozous_theobaldi","Chiroptera","Emballonuridae","Taphozous"
"144","Hipposideros_lankadiva","Chiroptera","Hipposideridae","Hipposideros"
"145","Macroglossus_minimus","Chiroptera","Pteropodidae","Macroglossus"
"146","Myotis_muricola","Chiroptera","Vespertilionidae","Myotis"
"147","Myotis_rosseti","Chiroptera","Vespertilionidae","Myotis"
"148","Nyctalus_plancyi","Chiroptera","Vespertilionidae","Nyctalus"
"149","Penthetor_lucasi","Chiroptera","Pteropodidae","Penthetor"
"150","Pipistrellus_ceylonicus","Chiroptera","Vespertilionidae","Pipistrellus"
"151","Pipistrellus_coromandra","Chiroptera","Vespertilionidae","Pipistrellus"
"152","Sphaerias_blanfordi","Chiroptera","Pteropodidae","Sphaerias"
"153","Viverra_tangalunga","Carnivora","Viverridae","Viverra"
"154","Hesperoptenus_tickelli","Chiroptera","Vespertilionidae","Hesperoptenus"
"155","Miniopterus_medius","Chiroptera","Vespertilionidae","Miniopterus"
"156","Phoniscus_atrox","Chiroptera","Vespertilionidae","Phoniscus"
"157","Pipistrellus_pipistrellus","Chiroptera","Vespertilionidae","Pipistrellus"
"158","Tylonycteris_pachypus","Chiroptera","Vespertilionidae","Tylonycteris"
"159","Dyacopterus_brooksi","Chiroptera","Pteropodidae","Dyacopterus"
"160","Manis_javanica","Pholidota","Manidae","Manis"
"161","Miniopterus_australis","Chiroptera","Vespertilionidae","Miniopterus"
"162","Murina_aurata","Chiroptera","Vespertilionidae","Murina"
"163","Mustela_altaica","Carnivora","Mustelidae","Mustela"
"164","Philetor_brachypterus","Chiroptera","Vespertilionidae","Philetor"
"165","Phoniscus_jagorii","Chiroptera","Vespertilionidae","Phoniscus"
"166","Ursus_thibetanus","Carnivora","Ursidae","Ursus"
"167","Cynogale_bennettii","Carnivora","Viverridae","Cynogale"
"168","Cynopterus_sphinx","Chiroptera","Pteropodidae","Cynopterus"
"169","Elaphodus_cephalophus","Artiodactyla","Cervidae","Elaphodus"
"170","Eonycteris_spelaea","Chiroptera","Pteropodidae","Eonycteris"
"171","Kerivoula_papillosa","Chiroptera","Vespertilionidae","Kerivoula"
"172","Lutrogale_perspicillata","Carnivora","Mustelidae","Lutrogale"
"173","Myotis_daubentonii","Chiroptera","Vespertilionidae","Myotis"
"174","Pipistrellus_paterculus","Chiroptera","Vespertilionidae","Pipistrellus"
"175","Vespertilio_sinensis","Chiroptera","Vespertilionidae","Vespertilio"
"176","Viverricula_indica","Carnivora","Viverridae","Viverricula"
"177","Aethalops_alecto","Chiroptera","Pteropodidae","Aethalops"
"178","Capricornis_sumatraensis","Artiodactyla","Bovidae","Capricornis"
"179","Chimarrogale_himalayica","Soricomorpha","Soricidae","Chimarrogale"
"180","Cynopterus_horsfieldii","Chiroptera","Pteropodidae","Cynopterus"
"181","Eonycteris_major","Chiroptera","Pteropodidae","Eonycteris"
"182","Helarctos_malayanus","Carnivora","Ursidae","Helarctos"
"183","Kerivoula_intermedia","Chiroptera","Vespertilionidae","Kerivoula"
"184","Miniopterus_shortridgei","Chiroptera","Vespertilionidae","Miniopterus"
"185","Pipistrellus_stenopterus","Chiroptera","Vespertilionidae","Pipistrellus"
"186","Taphozous_longimanus","Chiroptera","Emballonuridae","Taphozous"
"187","Balionycteris_maculata","Chiroptera","Pteropodidae","Balionycteris"
"188","Emballonura_monticola","Chiroptera","Emballonuridae","Emballonura"
"189","Herpestes_javanicus","Carnivora","Herpestidae","Herpestes"
"190","Hylomys_suillus","Erinaceomorpha","Erinaceidae","Hylomys"
"191","Mustela_kathiah","Carnivora","Mustelidae","Mustela"
"192","Pteropus_giganteus","Chiroptera","Pteropodidae","Pteropus"
"193","Pteropus_lylei","Chiroptera","Pteropodidae","Pteropus"
"194","Capricornis_milneedwardsii","Artiodactyla","Bovidae","Capricornis"
"195","Catopuma_temminckii","Carnivora","Felidae","Catopuma"
"196","Crocidura_negligens","Soricomorpha","Soricidae","Crocidura"
"197","Hipposideros_sumbae","Chiroptera","Hipposideridae","Hipposideros"
"198","Myotis_hasseltii","Chiroptera","Vespertilionidae","Myotis"
"199","Myotis_nipalensis","Chiroptera","Vespertilionidae","Myotis"
"200","Tadarida_latouchei","Chiroptera","Molossidae","Tadarida"
"201","Capricornis_thar","Artiodactyla","Bovidae","Capricornis"
"202","Cynopterus_titthaecheilus","Chiroptera","Pteropodidae","Cynopterus"
"203","Episoriculus_caudatus","Soricomorpha","Soricidae","Episoriculus"
"204","Kerivoula_minuta","Chiroptera","Vespertilionidae","Kerivoula"
"205","Megaerops_ecaudatus","Chiroptera","Pteropodidae","Megaerops"
"206","Mustela_strigidorsa","Carnivora","Mustelidae","Mustela"
"207","Myotis_sicarius","Chiroptera","Vespertilionidae","Myotis"
"208","Prionailurus_bengalensis","Carnivora","Felidae","Prionailurus"
"209","Crocidura_malayana","Soricomorpha","Soricidae","Crocidura"
"210","Crocidura_monticola","Soricomorpha","Soricidae","Crocidura"
"211","Crocidura_vorax","Soricomorpha","Soricidae","Crocidura"
