"","hOrder","hFamily","hGenus"
"623","Chiroptera","Molossidae","Molossops"
"629","Chiroptera","Phyllostomidae","Musonycteris"
"646","Chiroptera","Vespertilionidae","Nycticeius"
"649","Chiroptera","Vespertilionidae","Nyctophilus"
"656","Chiroptera","Pteropodidae","Ptenochirus"
"657","Chiroptera","Pteropodidae","Pteralopex"
"658","Chiroptera","Phyllostomidae","Pygoderma"
"663","Chiroptera","Phyllostomidae","Rhinophylla"
"666","Chiroptera","Pteropodidae","Scotonycteris"
"667","Chiroptera","Vespertilionidae","Scotorepens"
"682","Chiroptera","Hipposideridae","Anthops"
"684","Chiroptera","Phyllostomidae","Ardops"
"685","Chiroptera","Hipposideridae","Asellia"
"687","Chiroptera","Emballonuridae","Balantiopteryx"
"689","Chiroptera","Vespertilionidae","Bauerus"
"690","Chiroptera","Phyllostomidae","Brachyphylla"
"698","Chiroptera","Vespertilionidae","Cistugo"
"704","Chiroptera","Pteropodidae","Eidolon"
"709","Chiroptera","Pteropodidae","Epomops"
"716","Chiroptera","Phyllostomidae","Glyphonycteris"
"723","Chiroptera","Vespertilionidae","Laephotis"
"726","Chiroptera","Pteropodidae","Latidens"
"727","Chiroptera","Megadermatidae","Lavia"
"742","Chiroptera","Pteropodidae","Myonycteris"
"755","Chiroptera","Natalidae","Natalus"
"772","Chiroptera","Molossidae","Platymops"
"777","Chiroptera","Pteropodidae","Plerotes"
"778","Chiroptera","Molossidae","Promops"
"811","Chiroptera","Phyllostomidae","Trachops"
"815","Chiroptera","Vespertilionidae","Antrozous"
"828","Chiroptera","Phyllostomidae","Choeronycteris"
"851","Chiroptera","Phyllostomidae","Lichonycteris"
"853","Chiroptera","Pteropodidae","Melonycteris"
"854","Chiroptera","Phyllostomidae","Mesophylla"
"856","Chiroptera","Pteropodidae","Micropteropus"
"857","Chiroptera","Phyllostomidae","Mimon"
"866","Chiroptera","Molossidae","Molossus"
"870","Chiroptera","Mormoopidae","Mormoops"
"882","Chiroptera","Myzopodidae","Myzopoda"
"883","Chiroptera","Pteropodidae","Nanonycteris"
"886","Chiroptera","Pteropodidae","Neopteryx"
"897","Chiroptera","Vespertilionidae","Otonycteris"
"898","Chiroptera","Phyllostomidae","Phylloderma"
"899","Chiroptera","Phyllostomidae","Phyllops"
"929","Chiroptera","Thyropteridae","Thyroptera"
"931","Chiroptera","Hipposideridae","Triaenops"
