"","Sp","Count"
"1","Rhinolophus_ferrumequinum",0.2362
"2","Pipistrellus_tenuis",0.2359
"3","Rhinolophus_luctus",0.2351
"4","Myotis_muricola",0.2339
"5","Rhinolophus_affinis",0.2308
"6","Rhinolophus_macrotis",0.2289
"7","Scotophilus_kuhlii",0.2278
"8","Pipistrellus_javanicus",0.2276
"9","Eptesicus_serotinus",0.2259
"10","Pipistrellus_pipistrellus",0.2252
"11","Rousettus_leschenaultii",0.2251
"12","Cynopterus_sphinx",0.2226
"13","Rhinolophus_pearsonii",0.2214
"14","Myotis_formosus",0.2199
"15","Myotis_siligorensis",0.2194
"16","Scotomanes_ornatus",0.2193
"17","Kerivoula_hardwickii",0.2185
"18","Rhinolophus_pusillus",0.2176
"19","Pipistrellus_coromandra",0.2167
"20","Myotis_chinensis",0.2156
"21","Barbastella_leucomelas",0.2133
"22","Myotis_horsfieldii",0.2131
"23","Tylonycteris_robustula",0.2129
"24","Tylonycteris_pachypus",0.2127
"25","Rousettus_amplexicaudatus",0.2123
"26","Myotis_laniger",0.212
"27","Rhinolophus_thomasi",0.2118
"28","Rhinolophus_stheno",0.2106
"29","Scotophilus_heathii",0.2105
"30","Rhinolophus_sinicus",0.2098
"31","Murina_cyclotis",0.2094
"32","Pipistrellus_abramus",0.209
"33","Rhinolophus_malayanus",0.2089
"34","Kerivoula_picta",0.208
"35","Cynopterus_brachyotis",0.2068
"36","Macroglossus_sobrinus",0.2064
"37","Pipistrellus_ceylonicus",0.2064
"38","Myotis_altarium",0.2059
"39","Rhinolophus_shortridgei",0.2055
"40","Harpiocephalus_harpia",0.2048
"41","Myotis_montivagus",0.2046
"42","Nyctalus_leisleri",0.2046
"43","Ia_io",0.2042
"44","Rhinolophus_lepidus",0.2042
"45","Myotis_blythii",0.204
"46","Macroglossus_minimus",0.2023
"47","Eonycteris_spelaea",0.2021
"48","Pipistrellus_paterculus",0.202
"49","Megaerops_niphanae",0.2018
"50","Myotis_daubentonii",0.2018
