"Sp","Count"
"Kerivoula_pellucida",0.217236842105263
"Myotis_ridleyi",0.216973684210526
"Scotophilus_leucogaster",0.216973684210526
"Myotis_frater",0.216710526315789
"Nyctalus_noctula",0.216184210526316
"Epomops_franqueti",0.216052631578947
"Murina_suilla",0.216052631578947
"Glauconycteris_poensis",0.215263157894737
"Glauconycteris_argentata",0.215131578947368
"Kerivoula_argentata",0.214736842105263
"Nyctalus_lasiopterus",0.214473684210526
"Philetor_brachypterus",0.214473684210526
"Hipposideros_ater",0.213684210526316
"Megaloglossus_woermanni",0.213289473684211
"Rhinolophus_simulator",0.213289473684211
"Rousettus_spinalatus",0.213157894736842
"Penthetor_lucasi",0.213026315789474
"Micropteropus_intermedius",0.212763157894737
"Eonycteris_major",0.212631578947368
"Epomophorus_angolensis",0.212631578947368
"Rhinolophus_sedulus",0.212368421052632
"Chironax_melanocephalus",0.211842105263158
"Scotophilus_collinus",0.211578947368421
"Murina_huttoni",0.211052631578947
"Laephotis_wintoni",0.210789473684211
"Pipistrellus_pygmaeus",0.210789473684211
"Pipistrellus_nanulus",0.210657894736842
"Kerivoula_intermedia",0.210526315789474
"Myotis_rosseti",0.210526315789474
"Pteropus_lylei",0.210394736842105
"Balionycteris_maculata",0.210263157894737
"Neoromicia_zuluensis",0.209736842105263
"Pipistrellus_inexspectatus",0.209605263157895
"Rousettus_lanosus",0.209473684210526
"Scotonycteris_ophiodon",0.208947368421053
"Eptesicus_nasutus",0.208815789473684
"Dyacopterus_brooksi",0.208815789473684
"Hipposideros_lylei",0.207763157894737
"Scotophilus_nux",0.207763157894737
"Myotis_keaysi",0.2075
"Otonycteris_hemprichii",0.2075
"Plecotus_kolombatovici",0.2075
"Neoromicia_melckorum",0.207368421052632
"Casinycteris_argynnis",0.205657894736842
"Dyacopterus_spadiceus",0.205526315789474
"Rhinolophus_darlingi",0.205526315789474
"Eptesicus_nilssonii",0.205263157894737
"Laephotis_botswanae",0.205
"Myotis_albescens",0.204736842105263
"Rhinolophus_borneensis",0.204473684210526
"Kerivoula_minuta",0.204210526315789
"Aethalops_alecto",0.203947368421053
"Megaderma_lyra",0.203947368421053
"Myotis_dasycneme",0.203947368421053
"Rhinolophus_denti",0.203552631578947
"Rhinolophus_philippinensis",0.203552631578947
"Cynopterus_luzoniensis",0.203421052631579
"Aselliscus_stoliczkanus",0.203157894736842
"Megaerops_wetmorei",0.203157894736842
"Kerivoula_smithii",0.202763157894737
"Glauconycteris_humeralis",0.202368421052632
"Eptesicus_gobiensis",0.202105263157895
"Chaerephon_pumilus",0.201447368421053
"Kerivoula_phalaena",0.201447368421053
"Lasiurus_blossevillii",0.201447368421053
"Lasiurus_ega",0.201315789473684
"Neoromicia_helios",0.201315789473684
"Kerivoula_whiteheadi",0.200921052631579
"Myonycteris_relicta",0.200789473684211
"Phoniscus_atrox",0.200789473684211
"Rhogeessa_io",0.200789473684211
"Myotis_scotti",0.200657894736842
"Kerivoula_cuprosa",0.200526315789474
"Myotis_nigricans",0.200394736842105
"Myotis_punicus",0.200394736842105
"Kerivoula_lenis",0.200263157894737
"Nyctalus_aviator",0.200131578947368
"Eptesicus_hottentotus",0.2
"Eptesicus_brasiliensis",0.199868421052632
"Taphozous_melanopogon",0.199605263157895
"Hipposideros_pratti",0.199473684210526
"Eptesicus_furinalis",0.199342105263158
"Myotis_oxyotus",0.199342105263158
"Myotis_riparius",0.199078947368421
"Glauconycteris_beatrix",0.198552631578947
"Nyctalus_montanus",0.198421052631579
"Pteropus_hypomelanus",0.198421052631579
"Pteropus_intermedius",0.198289473684211
"Hipposideros_diadema",0.197894736842105
"Tadarida_teniotis",0.197631578947368
"Miniopterus_magnater",0.1975
"Rhinolophus_arcuatus",0.197236842105263
"Rousettus_madagascariensis",0.196973684210526
"Rhinolophus_robinsoni",0.196842105263158
"Murina_aenea",0.196578947368421
"Rhogeessa_minutilla",0.196578947368421
"Rousettus_bidens",0.195526315789474
"Asellia_tridens",0.195394736842105
"Eptesicus_andinus",0.195394736842105
"Ptenochirus_minor",0.195394736842105
"Lasiurus_egregius",0.195
"Myotis_macrodactylus",0.194868421052632
"Pipistrellus_deserti",0.194736842105263
"Harpyionycteris_whiteheadi",0.194473684210526
"Rhinolophus_subbadius",0.194473684210526
"Rhinolophus_celebensis",0.194078947368421
"Eptesicus_diminutus",0.193947368421053
"Rhinolophus_guineensis",0.193815789473684
"Megaderma_spasma",0.193421052631579
"Aethalops_aequalis",0.193289473684211
"Rhinolophus_deckenii",0.193289473684211
"Scotozous_dormeri",0.192894736842105
"Cynopterus_nusatenggara",0.192763157894737
"Myonycteris_brachycephala",0.191973684210526
"Rhinolophus_creaghi",0.191973684210526
"Pteropus_griseus",0.191842105263158
"Rhogeessa_tumida",0.191578947368421
"Myotis_pequinius",0.191447368421053
"Vespertilio_sinensis",0.191447368421053
"Myotis_schaubi",0.191315789473684
"Myotis_ater",0.191184210526316
"Myotis_levis",0.191052631578947
"Myotis_longipes",0.191052631578947
"Myotis_macrotarsus",0.191052631578947
"Glauconycteris_egeria",0.190921052631579
"Hipposideros_caffer",0.190921052631579
"Eptesicus_chiriquinus",0.190789473684211
"Eidolon_dupreanum",0.190657894736842
"Miniopterus_schreibersii",0.190657894736842
"Rhinolophus_rex",0.190657894736842
"Rousettus_obliviosus",0.190657894736842
"Myotis_sicarius",0.190263157894737
"Rhinolophus_bocharicus",0.190263157894737
"Myotis_moluccarum",0.190131578947368
"Pipistrellus_westralis",0.189736842105263
"Eptesicus_fuscus",0.189342105263158
"Glauconycteris_alboguttata",0.189342105263158
"Myotis_simus",0.189342105263158
"Falsistrellus_mordax",0.189210526315789
"Myotis_fortidens",0.189210526315789
"Pipistrellus_papuanus",0.189210526315789
"Acerodon_jubatus",0.189078947368421
"Hesperoptenus_tomesi",0.189078947368421
"Dobsonia_peronii",0.189078947368421
"Eptesicus_matroka",0.188815789473684
"Pteropus_scapulatus",0.188684210526316
"Myotis_elegans",0.188552631578947
"Lasiurus_intermedius",0.188421052631579
"Megaerops_kusnotoi",0.188421052631579
"Pteropus_keyensis",0.188421052631579
"Rousettus_celebensis",0.188421052631579
"Ptenochirus_jagori",0.188289473684211
"Rhinolophus_subrufus",0.187894736842105
"Rhinolophus_beddomei",0.187763157894737
"Acerodon_mackloti",0.187631578947368
"Hipposideros_galeritus",0.1875
"Eonycteris_robusta",0.187236842105263
"Lasiurus_cinereus",0.187105263157895
"Pteropus_lombocensis",0.186973684210526
"Pteropus_leucopterus",0.186842105263158
"Myotis_thysanodes",0.186710526315789
"Chaerephon_ansorgei",0.186578947368421
"Murina_rozendaali",0.186578947368421
"Chaerephon_plicatus",0.186447368421053
"Myotis_hajastanicus",0.186447368421053
"Rhinolophus_inops",0.186447368421053
"Cistugo_seabrae",0.186315789473684
"Histiotus_montanus",0.186315789473684
"Dobsonia_minor",0.186184210526316
"Rhinolophus_virgo",0.186052631578947
"Myotis_melanorhinus",0.185789473684211
"Eptesicus_floweri",0.185657894736842
"Pteropus_mahaganus",0.185657894736842
"Hypsugo_macrotis",0.185394736842105
"Styloctenium_wallacei",0.185394736842105
"Haplonycteris_fischeri",0.185
"Pteropus_ocularis",0.184473684210526
"Rhinolophus_silvestris",0.184078947368421
"Acerodon_celebensis",0.183947368421053
"Otopteropus_cartilagonodus",0.183947368421053
"Myotis_macropus",0.183815789473684
"Harpyionycteris_celebensis",0.183684210526316
"Myotis_bucharensis",0.183552631578947
"Dobsonia_anderseni",0.183421052631579
"Dobsonia_crenulata",0.183289473684211
"Myotis_ikonnikovi",0.183289473684211
"Myotis_davidii",0.183157894736842
"Pteropus_rennelli",0.182894736842105
"Pipistrellus_adamsi",0.182763157894737
"Pteropus_niger",0.182763157894737
"Antrozous_pallidus",0.182631578947368
"Myotis_goudoti",0.182631578947368
"Nyctimene_cephalotes",0.182631578947368
"Pteropus_speciosus",0.182631578947368
"Pteropus_tuberculatus",0.182631578947368
"Pipistrellus_subflavus",0.1825
"Myotis_yumanensis",0.1825
"Tadarida_aegyptiaca",0.1825
"Eptesicus_innoxius",0.182368421052632
"Pipistrellus_collinus",0.182368421052632
"Pteropus_conspicillatus",0.182368421052632
"Scotophilus_nucella",0.182368421052632
"Pteropus_woodfordi",0.182236842105263
"Bauerus_dubiaquercus",0.182105263157895
"Chaerephon_nigeriae",0.182105263157895
"Pteropus_dasymallus",0.182105263157895
"Falsistrellus_petersi",0.181710526315789
"Myotis_ruber",0.181710526315789
"Pteropus_neohibernicus",0.181710526315789
"Hipposideros_cyclops",0.181578947368421
"Histiotus_velatus",0.181578947368421
"Dobsonia_exoleta",0.181447368421053
"Mops_condylurus",0.181447368421053
"Myotis_bombinus",0.181315789473684
"Pteropus_mariannus",0.181315789473684
"Rhinolophus_megaphyllus",0.181315789473684
"Miniopterus_pusillus",0.181184210526316
"Pteropus_admiralitatum",0.181184210526316
"Myotis_nesopolus",0.181052631578947
"Thoopterus_nigrescens",0.181052631578947
"Pteropus_melanopogon",0.180921052631579
"Rhinopoma_hardwickii",0.180921052631579
"Kerivoula_flora",0.180789473684211
"Pteropus_chrysoproctus",0.180789473684211
"Pteropus_pohlei",0.180789473684211
"Murina_hilgendorfi",0.180657894736842
"Myotis_velifer",0.180657894736842
"Pteropus_samoensis",0.180657894736842
"Lasiurus_insularis",0.180526315789474
"Melonycteris_melanops",0.180394736842105
"Laephotis_angolensis",0.18
"Taphozous_longimanus",0.18
"Lasiurus_xanthinus",0.179868421052632
"Nycteris_thebaica",0.179868421052632
"Pteropus_melanotus",0.179868421052632
"Nyctimene_masalai",0.179736842105263
"Nyctimene_rabori",0.179736842105263
"Pteropus_seychellensis",0.179736842105263
"Rhinolophus_hillorum",0.179736842105263
"Nyctimene_minutus",0.179605263157895
"Pteropus_personatus",0.179605263157895
"Chaerephon_chapini",0.179473684210526
"Dobsonia_viridis",0.179473684210526
"Rhogeessa_parvula",0.179473684210526
"Pipistrellus_maderensis",0.179342105263158
"Pteropus_pumilus",0.179342105263158
"Acerodon_leucotis",0.179210526315789
"Pteropus_loochoensis",0.179210526315789
"Rhinolophus_ruwenzorii",0.179210526315789
"Murina_puta",0.179210526315789
"Myotis_auriculus",0.179078947368421
"Scotophilus_robustus",0.179078947368421
"Dobsonia_pannietensis",0.178947368421053
"Nyctophilus_geoffroyi",0.178815789473684
"Lasiurus_minor",0.178684210526316
"Pipistrellus_hesperus",0.178552631578947
"Myotis_hermani",0.178421052631579
"Vespadelus_caurinus",0.178421052631579
"Vespadelus_troughtoni",0.178421052631579
"Dobsonia_emersa",0.178289473684211
"Pteropus_rayneri",0.178289473684211
"Rhogeessa_aeneus",0.178157894736842
"Tadarida_ventralis",0.178157894736842
"Scotophilus_celebensis",0.178026315789474
"Pteropus_caniceps",0.177894736842105
"Scotoecus_pallidus",0.177894736842105
"Pteropus_capistratus",0.177763157894737
"Pteropus_pelewensis",0.177631578947368
"Pteropus_tonganus",0.177631578947368
"Syconycteris_hobbit",0.177631578947368
"Myotis_aelleni",0.1775
"Pteralopex_atrata",0.1775
"Chaerephon_aloysiisabaudiae",0.177236842105263
"Corynorhinus_mexicanus",0.177236842105263
"Dobsonia_inermis",0.177105263157895
"Histiotus_laephotis",0.177105263157895
"Myotis_stalkeri",0.176973684210526
"Myotis_volans",0.176973684210526
"Nyctimene_draconilla",0.176973684210526
"Latidens_salimalii",0.176710526315789
"Myotis_dominicensis",0.176710526315789
"Murina_florium",0.176578947368421
"Myotis_austroriparius",0.176578947368421
"Pipistrellus_wattsi",0.176578947368421
"Pteropus_gilliardorum",0.176447368421053
"Pteropus_macrotis",0.176447368421053
"Rhinolophus_capensis",0.176447368421053
"Chalinolobus_nigrogriseus",0.176184210526316
"Chalinolobus_picatus",0.176184210526316
"Hipposideros_ruber",0.176184210526316
"Rhogeessa_alleni",0.176184210526316
"Pteropus_vetulus",0.176052631578947
"Chaerephon_major",0.175921052631579
"Eptesicus_tatei",0.175789473684211
"Nyctimene_major",0.175789473684211
"Histiotus_macrotus",0.175657894736842
"Lasiurus_pfeifferi",0.175526315789474
"Pteropus_insularis",0.175526315789474
"Rhinopoma_microphyllum",0.175526315789474
"Myotis_ciliolabrum",0.175394736842105
"Kerivoula_muscina",0.175263157894737
"Pipistrellus_angulatus",0.175131578947368
"Hypsugo_joffrei",0.175
"Myotis_insularum",0.175
"Myotis_pruinosus",0.175
"Scotorepens_sanborni",0.175
"Lasiurus_castaneus",0.174868421052632
"Myotis_oreias",0.174868421052632
"Myotis_grisescens",0.174736842105263
"Paranyctimene_raptor",0.174736842105263
"Syconycteris_australis",0.174736842105263
"Myotis_evotis",0.174605263157895
"Myotis_martiniquensis",0.174605263157895
"Neopteryx_frosti",0.174605263157895
"Otomops_martiensseni",0.174605263157895
"Pteralopex_pulchra",0.174605263157895
"Rhinolophus_rufus",0.174605263157895
"Euderma_maculatum",0.174473684210526
"Myotis_keenii",0.174473684210526
"Pteropus_ornatus",0.174473684210526
"Triaenops_persicus",0.174473684210526
"Eudiscopus_denticulus",0.174342105263158
"Myotis_occultus",0.174342105263158
"Rhinolophus_euryotis",0.174342105263158
"Scotorepens_orion",0.174342105263158
"Myotis_californicus",0.174210526315789
"Pteropus_temminckii",0.174210526315789
"Nyctimene_albiventer",0.174078947368421
"Rhogeessa_gracilis",0.174078947368421
"Scoteanax_rueppellii",0.174078947368421
"Hypsugo_vordermanni",0.173815789473684
"Nyctophilus_timoriensis",0.173815789473684
"Chalinolobus_gouldii",0.173552631578947
"Eptesicus_japonensis",0.173552631578947
"Hypsugo_kitcheneri",0.173552631578947
"Myotis_australis",0.173552631578947
"Rhinolophus_formosae",0.173552631578947
"Syconycteris_carolinae",0.173552631578947
"Corynorhinus_townsendii",0.173421052631579
"Hipposideros_grandis",0.173421052631579
"Pteropus_cognatus",0.173421052631579
"Plecotus_taivanus",0.173289473684211
"Nyctimene_certans",0.173157894736842
"Pipistrellus_endoi",0.173157894736842
"Pteropus_anetianus",0.173157894736842
"Rhinolophus_maclaudi",0.173157894736842
"Saccolaimus_saccolaimus",0.173157894736842
"Arielulus_societatis",0.173026315789474
"Dobsonia_beauforti",0.173026315789474
"Myotis_vivesi",0.173026315789474
"Nyctimene_malaitensis",0.173026315789474
"Pteropus_alecto",0.173026315789474
"Nyctophilus_microtis",0.172894736842105
"Pteropus_aruensis",0.172894736842105
"Idionycteris_phyllotis",0.172763157894737
"Nyctimene_vizcaccia",0.172763157894737
"Arielulus_cuprosus",0.172631578947368
"Melonycteris_woodfordi",0.172631578947368
"Alionycteris_paucidentata",0.1725
"Nyctophilus_bifax",0.172368421052632
"Rhogeessa_mira",0.172368421052632
"Hipposideros_bicolor",0.172236842105263
"Myotis_planiceps",0.172105263157895
"Pteropus_poliocephalus",0.172105263157895
"Rhinolophus_canuti",0.172105263157895
"Rhinolophus_keyensis",0.172105263157895
"Eptesicus_bobrinskoi",0.171973684210526
"Myotis_chiloensis",0.171973684210526
"Notopteris_macdonaldi",0.171973684210526
"Taphozous_theobaldi",0.171973684210526
"Vespadelus_finlaysoni",0.171842105263158
"Dobsonia_praedatrix",0.171578947368421
"Neoromicia_flavescens",0.171578947368421
"Nycteris_macrotis",0.171447368421053
"Mops_demonstrator",0.171447368421053
"Myotis_septentrionalis",0.171447368421053
"Myotis_sodalis",0.171447368421053
"Scotorepens_greyii",0.171447368421053
"Lasiurus_salinae",0.171315789473684
"Myotis_lucifugus",0.171315789473684
"Nyctophilus_arnhemensis",0.171315789473684
"Dobsonia_moluccensis",0.171184210526316
"Vespadelus_baverstocki",0.171052631578947
"Miniopterus_natalensis",0.170921052631579
"Murina_ussuriensis",0.170789473684211
"Histiotus_alienus",0.170657894736842
"Laephotis_namibensis",0.170657894736842
"Nyctophilus_gouldi",0.170394736842105
"Pteralopex_anceps",0.170263157894737
"Hipposideros_megalotis",0.170131578947368
"Hipposideros_vittatus",0.170131578947368
"Nycteris_hispida",0.170131578947368
"Nycticeius_cubanus",0.17
"Tadarida_insignis",0.17
"Eptesicus_guadeloupensis",0.169868421052632
"Rhinolophus_cognatus",0.169868421052632
"Taphozous_mauritianus",0.169868421052632
"Kerivoula_agnella",0.169736842105263
"Mops_trevori",0.169605263157895
"Notopteris_neocaledonica",0.169605263157895
"Rhinolophus_nereis",0.169605263157895
"Histiotus_magellanicus",0.169473684210526
"Plecotus_teneriffae",0.169473684210526
"Hipposideros_cervinus",0.169342105263158
"Hipposideros_lekaguli",0.169210526315789
"Nyctimene_aello",0.169210526315789
"Nyctimene_robinsoni",0.169078947368421
"Chalinolobus_tuberculatus",0.168947368421053
"Eptesicus_dimissus",0.168947368421053
"Kerivoula_myrella",0.168947368421053
"Murina_tenebrosa",0.168947368421053
"Pharotis_imogene",0.168947368421053
"Vespadelus_pumilus",0.168947368421053
"Falsistrellus_mackenziei",0.168815789473684
"Hipposideros_fulvus",0.168815789473684
"Falsistrellus_tasmaniensis",0.168684210526316
"Pteropus_rufus",0.168684210526316
"Nycticeius_humeralis",0.168552631578947
"Hipposideros_doriae",0.168421052631579
"Mops_nanulus",0.168289473684211
"Myotis_findleyi",0.168157894736842
"Chaerephon_bivittatus",0.167894736842105
"Chalinolobus_morio",0.167894736842105
"Chalinolobus_neocaledonicus",0.167894736842105
"Hipposideros_gigas",0.167894736842105
"Nyctophilus_walkeri",0.167894736842105
"Cistugo_lesueuri",0.167631578947368
"Hipposideros_beatus",0.167631578947368
"Taphozous_perforatus",0.1675
"Vespadelus_vulturnus",0.1675
"Rhogeessa_genowaysi",0.167105263157895
"Lasionycteris_noctivagans",0.167105263157895
"Nyctimene_cyclotis",0.167105263157895
"Rhinolophus_madurensis",0.166973684210526
"Myotis_atacamensis",0.166710526315789
"Myotis_leibii",0.166710526315789
"Lavia_frons",0.166447368421053
"Scotophilus_borbonicus",0.166315789473684
"Chalinolobus_dwyeri",0.166184210526316
"Glauconycteris_machadoi",0.165921052631579
