Host,p.interaction
Lasiurus_egregius,0.146443865
Scotophilus_nigrita,0.14639823
Lasiurus_blossevillii,0.146361995
Chrotopterus_auritus,0.146327862
Lasiurus_ega,0.146253278
Myotis_davidii,0.146248626
Myotis_brandtii,0.146245646
Saccolaimus_flaviventris,0.146207195
Molossops_neglectus,0.146152598
Lasionycteris_noctivagans,0.146117114
Hipposideros_vittatus,0.14610684
Euderma_maculatum,0.14607669
Diaemus_youngi,0.14605273
Tadarida_teniotis,0.145993572
Lonchorhina_aurita,0.145992603
Histiotus_montanus,0.145990604
Vespadelus_pumilus,0.145877387
Micronycteris_megalotis,0.145805545
Miniopterus_magnater,0.145782843
Lasiurus_borealis,0.145766787
Cardioderma_cor,0.145667825
Ptenochirus_jagori,0.145633288
Diphylla_ecaudata,0.145552464
Hipposideros_lekaguli,0.145518889
Megaerops_niphanae,0.145467691
Pipistrellus_pygmaeus,0.145464895
Murina_aurata,0.145464652
Rhinolophus_cornutus,0.145451714
Pipistrellus_hesperus,0.145424075
Mystacina_tuberculata,0.145306789
Miniopterus_natalensis,0.145254227
Platyrrhinus_lineatus,0.14491444
Rhinolophus_monoceros,0.14488234
Vespadelus_regulus,0.144851583
Pteropus_admiralitatum,0.144845199
Eumops_perotis,0.14475716
Macrotus_californicus,0.144640918
Vespadelus_baverstocki,0.144602911
Mesophylla_macconnelli,0.144558932
Glossophaga_morenoi,0.144547748
Diclidurus_albus,0.144485767
Eumops_patagonicus,0.144373786
Anoura_caudifer,0.144321566
Lichonycteris_obscura,0.144233642
Myotis_macrodactylus,0.144224566
Hipposideros_speoris,0.144209696
Glossophaga_longirostris,0.144100938
Leptonycteris_curasoae,0.143951261
Miniopterus_pusillus,0.143802982
Tylonycteris_pachypus,0.143709838
Macroglossus_minimus,0.143631921
Nycteris_thebaica,0.143590746
Sturnira_erythromos,0.143443429
Aselliscus_stoliczkanus,0.143364167
Pteropus_capistratus,0.143153675
Artibeus_obscurus,0.14311256
Leptonycteris_nivalis,0.143004861
Hipposideros_commersoni,0.142956003
Carollia_subrufa,0.142862066
Hipposideros_lankadiva,0.142840238
Miniopterus_australis,0.142743343
Glauconycteris_argentata,0.14269508
Rhogeessa_parvula,0.1425788
Ia_io,0.142330531
Pteropus_neohibernicus,0.141764024
Hipposideros_cineraceus,0.141701004
Hipposideros_galeritus,0.141569676
Rhinonicteris_aurantia,0.141557296
Mimon_crenulatum,0.14153429
Rhynchonycteris_naso,0.141161624
Lophostoma_silvicolum,0.140679102
Natalus_stramineus,0.14039662
Sturnira_ludovici,0.140290132
Glossophaga_commissarisi,0.140275407
Vampyrodes_caraccioli,0.140029246
Sturnira_tildae,0.140009906
Lonchophylla_robusta,0.13986474
Taphozous_theobaldi,0.139779352
Megaderma_lyra,0.139717537
Tonatia_bidens,0.139518989
Nycteris_nana,0.138533185
Paranyctimene_raptor,NA
Nyctimene_aello,NA
Nyctimene_certans,NA
Nyctimene_cyclotis,NA
Nyctimene_major,NA
Nyctimene_robinsoni,NA
Nyctimene_albiventer,NA
Nyctimene_draconilla,NA
Nyctimene_minutus,NA
Nyctimene_cephalotes,NA
Nyctimene_rabori,NA
Nyctimene_malaitensis,NA
Nyctimene_masalai,NA
Nyctimene_vizcaccia,NA
Sphaerias_blanfordi,NA
Alionycteris_paucidentata,NA
Otopteropus_cartilagonodus,NA
Haplonycteris_fischeri,NA
Latidens_salimalii,NA
Penthetor_lucasi,NA
Thoopterus_nigrescens,NA
Aethalops_alecto,NA
Aethalops_aequalis,NA
Balionycteris_maculata,NA
Chironax_melanocephalus,NA
Dyacopterus_brooksi,NA
Ptenochirus_minor,NA
Megaerops_ecaudatus,NA
Megaerops_kusnotoi,NA
Megaerops_wetmorei,NA
Cynopterus_luzoniensis,NA
Cynopterus_minutus,NA
Cynopterus_nusatenggara,NA
Cynopterus_titthaecheilus,NA
Rousettus_bidens,NA
Lissonycteris_angolensis,NA
Myonycteris_relicta,NA
Myonycteris_brachycephala,NA
Rousettus_lanosus,NA
Rousettus_celebensis,NA
Rousettus_obliviosus,NA
Rousettus_spinalatus,NA
Plerotes_anchietae,NA
Casinycteris_argynnis,NA
Scotonycteris_ophiodon,NA
Scotonycteris_zenkeri,NA
Nanonycteris_veldkampii,NA
Epomops_buettikoferi,NA
Micropteropus_intermedius,NA
Epomophorus_angolensis,NA
Epomophorus_crypturus,NA
Epomophorus_grandis,NA
Epomophorus_minor,NA
Epomophorus_minimus,NA
Eonycteris_major,NA
Eonycteris_robusta,NA
Macroglossus_sobrinus,NA
Syconycteris_carolinae,NA
Syconycteris_hobbit,NA
Notopteris_macdonaldi,NA
Notopteris_neocaledonica,NA
Melonycteris_melanops,NA
Melonycteris_woodfordi,NA
Harpyionycteris_celebensis,NA
Harpyionycteris_whiteheadi,NA
Aproteles_bulmerae,NA
Dobsonia_beauforti,NA
Dobsonia_inermis,NA
Dobsonia_praedatrix,NA
Dobsonia_viridis,NA
Dobsonia_crenulata,NA
Dobsonia_minor,NA
Dobsonia_peronii,NA
Dobsonia_emersa,NA
Dobsonia_exoleta,NA
Dobsonia_magna,NA
Dobsonia_pannietensis,NA
Styloctenium_wallacei,NA
Neopteryx_frosti,NA
Pteralopex_acrodonta,NA
Pteralopex_anceps,NA
Pteralopex_atrata,NA
Pteralopex_pulchra,NA
Acerodon_celebensis,NA
Acerodon_humilis,NA
Acerodon_jubatus,NA
Acerodon_leucotis,NA
Acerodon_mackloti,NA
Pteropus_speciosus,NA
Pteropus_howensis,NA
Pteropus_ornatus,NA
Pteropus_pumilus,NA
Pteropus_melanotus,NA
Pteropus_griseus,NA
Pteropus_faunulus,NA
Pteropus_dasymallus,NA
Pteropus_livingstonii,NA
Pteropus_melanopogon,NA
Pteropus_aruensis,NA
Pteropus_keyensis,NA
Pteropus_caniceps,NA
Pteropus_ocularis,NA
Pteropus_anetianus,NA
Pteropus_samoensis,NA
Pteropus_mariannus,NA
Pteropus_pelewensis,NA
Pteropus_ualanus,NA
Pteropus_yapensis,NA
Pteropus_loochoensis,NA
Pteropus_tonganus,NA
Pteropus_personatus,NA
Pteropus_temminckii,NA
Pteropus_macrotis,NA
Pteropus_pohlei,NA
Pteropus_lombocensis,NA
Pteropus_molossinus,NA
Pteropus_rodricensis,NA
Pteropus_chrysoproctus,NA
Pteropus_fundatus,NA
Pteropus_rayneri,NA
Pteropus_rennelli,NA
Pteropus_cognatus,NA
Pteropus_intermedius,NA
Pteropus_gilliardorum,NA
Pteropus_mahaganus,NA
Pteropus_woodfordi,NA
Pteropus_aldabrensis,NA
Pteropus_seychellensis,NA
Pteropus_niger,NA
Pteropus_voeltzkowi,NA
Pteropus_insularis,NA
Pteropus_leucopterus,NA
Pteropus_nitendiensis,NA
Pteropus_pselaphon,NA
Pteropus_tuberculatus,NA
Pteropus_vetulus,NA
Saccolaimus_peli,NA
Saccolaimus_mixtus,NA
Taphozous_hamiltoni,NA
Taphozous_nudiventris,NA
Taphozous_hilli,NA
Taphozous_australis,NA
Taphozous_georgianus,NA
Taphozous_troughtoni,NA
Taphozous_kapalgensis,NA
Taphozous_hildegardeae,NA
Taphozous_longimanus,NA
Taphozous_mauritianus,NA
Taphozous_achates,NA
Mosia_nigrescens,NA
Emballonura_atrata,NA
Emballonura_beccarii,NA
Emballonura_dianae,NA
Emballonura_furax,NA
Emballonura_raffrayana,NA
Emballonura_semicaudata,NA
Coleura_afra,NA
Coleura_seychellensis,NA
Emballonura_alecto,NA
Emballonura_monticola,NA
Cyttarops_alecto,NA
Diclidurus_isabellus,NA
