"","origin","host_family","host_genus","host_species","virus_genus","virus_subgenus","clean_hostnames"
"121","HP3","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Alphavirus","","Rousettus_aegyptiacus"
"122","HP3","Pteropodidae","Rousettus","Rousettus_leschenaultii","Alphavirus","","Rousettus_leschenaultii"
"123","HP3","Vespertilionidae","Scotophilus","Scotophilus_kuhlii","Alphavirus","","Scotophilus_kuhlii"
"124","HP3","Molossidae","Chaerephon","Chaerephon_pusillus","Alphavirus","","Chaerephon_pumilus"
"125","HP3","Phyllostomidae","Artibeus","Artibeus_jamaicensis","Alphavirus","","Artibeus_jamaicensis"
"126","HP3","Phyllostomidae","Artibeus","Artibeus_lituratus","Alphavirus","","Artibeus_lituratus"
"127","HP3","Phyllostomidae","Carollia","Carollia_perspicillata","Alphavirus","","Carollia_perspicillata"
"128","HP3","Vespertilionidae","Eptesicus","Eptesicus_fuscus","Alphavirus","","Eptesicus_fuscus"
"129","HP3","Phyllostomidae","Glossophaga","Glossophaga_soricina","Alphavirus","","Glossophaga_soricina"
"130","HP3","Vespertilionidae","Lasiurus","Lasiurus_cinereus","Alphavirus","","Lasiurus_cinereus"
"131","HP3","Vespertilionidae","Myotis","Myotis_keenii","Alphavirus","","Myotis_keenii"
"132","HP3","Vespertilionidae","Myotis","Myotis_lucifugus","Alphavirus","","Myotis_lucifugus"
"133","HP3","Vespertilionidae","Myotis","Myotis_septentrionalis","Alphavirus","","Myotis_septentrionalis"
"134","HP3","Phyllostomidae","Phyllostomus","Phyllostomus_hastatus","Alphavirus","","Phyllostomus_hastatus"
"135","HP3","Phyllostomidae","Platyrrhinus","Platyrrhinus_helleri","Alphavirus","","Platyrrhinus_helleri"
"136","HP3","Emballonuridae","Rhynchonycteris","Rhynchonycteris_naso","Alphavirus","","Rhynchonycteris_naso"
"137","HP3","Phyllostomidae","Sturnira","Sturnira_lilium","Alphavirus","","Sturnira_lilium"
"138","HP3","Molossidae","Tadarida","Tadarida_brasiliensis","Alphavirus","","Tadarida_brasiliensis"
"139","HP3","Molossidae","Molossus","Molossus_rufus","Alphavirus","","Molossus_rufus"
"140","HP3","Pteropodidae","Pteropus","Pteropus_alecto","Alphavirus","","Pteropus_alecto"
"141","HP3","Phyllostomidae","Dermanura","Dermanura_phaeotis","Alphavirus","","Artibeus_phaeotis"
"142","HP3","Phyllostomidae","Carollia","Carollia_brevicauda","Alphavirus","","Carollia_brevicauda"
"143","HP3","Phyllostomidae","Carollia","Carollia_subrufa","Alphavirus","","Carollia_subrufa"
"144","HP3","Phyllostomidae","Desmodus","Desmodus_rotundus","Alphavirus","","Desmodus_rotundus"
"145","HP3","Phyllostomidae","Glossophaga","Glossophaga_commissarisi","Alphavirus","","Glossophaga_commissarisi"
"146","HP3","Vespertilionidae","Myotis","Myotis_nigricans","Alphavirus","","Myotis_nigricans"
"147","HP3","Phyllostomidae","Phyllostomus","Phyllostomus_discolor","Alphavirus","","Phyllostomus_discolor"
"148","HP3","Phyllostomidae","Sturnira","Sturnira_ludovici","Alphavirus","","Sturnira_ludovici"
"149","HP3","Phyllostomidae","Uroderma","Uroderma_bilobatum","Alphavirus","","Uroderma_bilobatum"
"150","Anthony","Hipposideridae","Hipposideros","Hipposideros_pratti","Betacoronavirus","","Hipposideros_pratti"
"151","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus","","Rhinolophus_sinicus"
"152","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus","","Rhinolophus_ferrumequinum"
"153","Anthony","Hipposideridae","Aselliscus","Aselliscus_stoliczkanus","Betacoronavirus","","Aselliscus_stoliczkanus"
"154","Anthony","Molossidae","Chaerephon","Chaerephon_plicatus","Betacoronavirus","","Chaerephon_plicatus"
"155","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_pusillus","Betacoronavirus","","Rhinolophus_pusillus"
"156","Anthony","Vespertilionidae","Hypsugo","Hypsugo_savii","Betacoronavirus","","Hypsugo_savii"
"157","Anthony","Vespertilionidae","Neoromicia","Neoromicia_capensis","Betacoronavirus","","Neoromicia_capensis"
"158","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_kuhlii","Betacoronavirus","","Pipistrellus_kuhlii"
"159","Anthony","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus","","Rousettus_leschenaultii"
"160","Anthony","Vespertilionidae","Tylonycteris","Tylonycteris_pachypus","Betacoronavirus","","Tylonycteris_pachypus"
"161","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_abramus","Betacoronavirus","","Pipistrellus_abramus"
"162","Anthony","Vespertilionidae","Vespertilio","Vespertilio_sinensis","Betacoronavirus","","Vespertilio_sinensis"
"163","Anthony","Vespertilionidae","Myotis","Myotis_emarginatus","Betacoronavirus","","Myotis_emarginatus"
"164","Anthony","Pteropodidae","Pteropus","Pteropus_alecto","Betacoronavirus","Embecovirus","Pteropus_alecto"
"165","Anthony","Vespertilionidae","Neoromicia","Neoromicia_capensis","Betacoronavirus","Merbecovirus","Neoromicia_capensis"
"166","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_hesperidus","Betacoronavirus","Merbecovirus","Pipistrellus_hesperidus"
"167","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_pipistrellus","Betacoronavirus","Merbecovirus","Pipistrellus_pipistrellus"
"168","Anthony","Vespertilionidae","Tylonycteris","Tylonycteris_pachypus","Betacoronavirus","Merbecovirus","Tylonycteris_pachypus"
"169","Anthony","Vespertilionidae","Vespertilio","Vespertilio_sinensis","Betacoronavirus","Merbecovirus","Vespertilio_sinensis"
"170","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Betacoronavirus","Nobecovirus","Rousettus_aegyptiacus"
"171","Anthony","Pteropodidae","Eidolon","Eidolon_helvum","Betacoronavirus","Nobecovirus","Eidolon_helvum"
"172","Anthony","Pteropodidae","Eonycteris","Eonycteris_spelaea","Betacoronavirus","Nobecovirus","Eonycteris_spelaea"
"173","Anthony","Pteropodidae","Rousettus","Rousettus_amplexicaudatus","Betacoronavirus","Nobecovirus","Rousettus_amplexicaudatus"
"174","Anthony","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus","Nobecovirus","Rousettus_leschenaultii"
"175","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus","Sarbecovirus","Rhinolophus_sinicus"
"176","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus","Sarbecovirus","Rhinolophus_ferrumequinum"
"177","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Betacoronavirus","Sarbecovirus","Rhinolophus_affinis"
"178","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_macrotis","Betacoronavirus","Sarbecovirus","Rhinolophus_macrotis"
"179","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_monoceros","Betacoronavirus","Sarbecovirus","Rhinolophus_monoceros"
"180","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_rex","Betacoronavirus","Sarbecovirus","Rhinolophus_rex"
"181","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_pearsonii","Betacoronavirus","Sarbecovirus","Rhinolophus_pearsonii"
"182","Anthony","Miniopteridae","Miniopterus","Miniopterus_schreibersii","Betacoronavirus","Sarbecovirus","Miniopterus_schreibersii"
"183","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_thomasi","Betacoronavirus","Sarbecovirus","Rhinolophus_thomasi"
"184","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_cornutus","Betacoronavirus","Sarbecovirus","Rhinolophus_cornutus"
"185","Anthony","Hipposideridae","Hipposideros","Hipposideros_armiger","Betacoronavirus","Sarbecovirus","Hipposideros_armiger"
"186","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_blasii","Betacoronavirus","","Rhinolophus_blasii"
"187","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_euryale","Betacoronavirus","","Rhinolophus_euryale"
"188","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Betacoronavirus","","Rhinolophus_ferrumequinum"
"189","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_macrotis","Betacoronavirus","","Rhinolophus_macrotis"
"190","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_mehelyi","Betacoronavirus","","Rhinolophus_mehelyi"
"191","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_pearsonii","Betacoronavirus","","Rhinolophus_pearsonii"
"192","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_pusillus","Betacoronavirus","","Rhinolophus_pusillus"
"193","HP3","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Betacoronavirus","","Rhinolophus_sinicus"
"194","HP3","Pteropodidae","Rousettus","Rousettus_leschenaultii","Betacoronavirus","","Rousettus_leschenaultii"
"195","Anthony","Hipposideridae","Hipposideros","Hipposideros_commersonii","Betacoronavirus","","Hipposideros_commersoni"
"196","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Betacoronavirus","","Rousettus_aegyptiacus"
"197","Anthony","Pteropodidae","Cynopterus","Cynopterus_brachyotis","Betacoronavirus","","Cynopterus_brachyotis"
"198","Anthony","Hipposideridae","Hipposideros","Hipposideros_galeritus","Betacoronavirus","","Hipposideros_galeritus"
"199","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_creaghi","Betacoronavirus","","Rhinolophus_creaghi"
"200","Anthony","Pteropodidae","Dyacopterus","Dyacopterus_spadiceus","Betacoronavirus","","Dyacopterus_spadiceus"
"201","Anthony","Pteropodidae","Cynopterus","Cynopterus_horsfieldii","Betacoronavirus","","Cynopterus_horsfieldii"
"202","Anthony","Hipposideridae","Hipposideros","Hipposideros_caffer","Betacoronavirus","","Hipposideros_caffer"
"203","Anthony","Pteropodidae","Megaloglossus","Megaloglossus_woermanni","Betacoronavirus","","Megaloglossus_woermanni"
"204","Anthony","Hipposideridae","Hipposideros","Hipposideros_ruber","Betacoronavirus","","Hipposideros_ruber"
"205","Anthony","Pteropodidae","Pteropus","Pteropus_giganteus","Betacoronavirus","","Pteropus_giganteus"
"206","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_clivosus","Betacoronavirus","","Rhinolophus_clivosus"
"207","Anthony","Phyllostomidae","Artibeus","Artibeus_obscurus","Betacoronavirus","","Artibeus_obscurus"
"208","Anthony","Mormoopidae","Pteronotus","Pteronotus_parnellii","Betacoronavirus","","Pteronotus_parnellii"
"209","Anthony","Pteropodidae","Megaerops","Megaerops_niphanae","Betacoronavirus","","Megaerops_niphanae"
"210","Anthony","Pteropodidae","Cynopterus","Cynopterus_sphinx","Betacoronavirus","","Cynopterus_sphinx"
"211","Anthony","Vespertilionidae","Myotis","Myotis_ricketti","Betacoronavirus","","Myotis_ricketti"
"212","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_pipistrellus","Betacoronavirus","","Pipistrellus_pipistrellus"
"213","Anthony","Pteropodidae","Pteropus","Pteropus_alecto","Betacoronavirus","","Pteropus_alecto"
"214","Anthony","Molossidae","Mops","Mops_condylurus","Betacoronavirus","","Mops_condylurus"
"215","Anthony","Pteropodidae","Epomops","Epomops_franqueti","Betacoronavirus","","Epomops_franqueti"
"216","Anthony","Pteropodidae","Eonycteris","Eonycteris_spelaea","Betacoronavirus","","Eonycteris_spelaea"
"217","Anthony","Hipposideridae","Rhinonicteris","Rhinonicteris_aurantia","Betacoronavirus","","Rhinonicteris_aurantia"
"218","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_euryale","Betacoronavirus","","Rhinolophus_euryale"
"219","Anthony","Pteropodidae","Dobsonia","Dobsonia_moluccensis","Betacoronavirus","","Dobsonia_moluccensis"
"220","Anthony","Emballonuridae","Taphozous","Taphozous_perforatus","Betacoronavirus","","Taphozous_perforatus"
"221","Anthony","Rhinopomatidae","Rhinopoma","Rhinopoma_hardwickii","Betacoronavirus","","Rhinopoma_hardwickii"
"222","Anthony","Pteropodidae","Ptenochirus","Ptenochirus_jagori","Betacoronavirus","","Ptenochirus_jagori"
"223","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_nathusii","Betacoronavirus","","Pipistrellus_nathusii"
"224","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_pygmaeus","Betacoronavirus","","Pipistrellus_pygmaeus"
"225","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Betacoronavirus","","Rhinolophus_affinis"
"226","Anthony","Phyllostomidae","Artibeus","Artibeus_lituratus","Betacoronavirus","","Artibeus_lituratus"
"227","Anthony","Phyllostomidae","Dermanura","Dermanura_phaeotis","Betacoronavirus","","Artibeus_phaeotis"
"228","Anthony","Molossidae","Nyctinomops","Nyctinomops_laticaudatus","Betacoronavirus","","Nyctinomops_laticaudatus"
"229","Anthony","Molossidae","Eumops","Eumops_glaucinus","Betacoronavirus","","Eumops_glaucinus"
"230","Anthony","Vespertilionidae","Myotis","Myotis_dasycneme","Betacoronavirus","","Myotis_dasycneme"
"231","Anthony","Vespertilionidae","Myotis","Myotis_daubentonii","Betacoronavirus","","Myotis_daubentonii"
"232","Anthony","Vespertilionidae","Nyctalus","Nyctalus_noctula","Betacoronavirus","","Nyctalus_noctula"
"233","Anthony","Pteropodidae","Pteropus","Pteropus_rufus","Betacoronavirus","","Pteropus_rufus"
"234","Anthony","Pteropodidae","Eidolon","Eidolon_dupreanum","Betacoronavirus","","Eidolon_dupreanum"
