"","origin","host_family","host_genus","host_species","virus_genus","virus_subgenus","clean_hostnames"
"1","Anthony","Vespertilionidae","Myotis","Myotis_lucifugus","Alphacoronavirus","","Myotis_lucifugus"
"2","Anthony","Hipposideridae","Hipposideros","Hipposideros_caffer","Alphacoronavirus","","Hipposideros_caffer"
"3","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Alphacoronavirus","","Rousettus_aegyptiacus"
"4","Anthony","Hipposideridae","Hipposideros","Hipposideros_vittatus","Alphacoronavirus","","Hipposideros_vittatus"
"5","Anthony","Miniopteridae","Miniopterus","Miniopterus_fuliginosus","Alphacoronavirus","","Miniopterus_schreibersii"
"6","Anthony","Vespertilionidae","Myotis","Myotis_lucifugus","Alphacoronavirus","Colacovirus","Myotis_lucifugus"
"7","Anthony","Hipposideridae","Hipposideros","Hipposideros_abae","Alphacoronavirus","Duvinacovirus","Hipposideros_abae"
"8","Anthony","Hipposideridae","Hipposideros","Hipposideros_ruber","Alphacoronavirus","Duvinacovirus","Hipposideros_ruber"
"9","Anthony","Hipposideridae","Hipposideros","Hipposideros_caffer","Alphacoronavirus","Duvinacovirus","Hipposideros_caffer"
"10","Anthony","Miniopteridae","Miniopterus","Miniopterus_magnater","Alphacoronavirus","Minunacovirus","Miniopterus_magnater"
"11","Anthony","Miniopteridae","Miniopterus","Miniopterus_schreibersii","Alphacoronavirus","Minunacovirus","Miniopterus_schreibersii"
"12","Anthony","Miniopteridae","Miniopterus","Miniopterus_fuliginosus","Alphacoronavirus","Minunacovirus","Miniopterus_schreibersii"
"13","Anthony","Vespertilionidae","Myotis","Myotis_ricketti","Alphacoronavirus","","Myotis_ricketti"
"14","Anthony","Vespertilionidae","Nyctalus","Nyctalus_plancyi","Alphacoronavirus","","Nyctalus_plancyi"
"15","Anthony","Vespertilionidae","Scotophilus","Scotophilus_kuhlii","Alphacoronavirus","Pedacovirus","Scotophilus_kuhlii"
"16","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_coromandra","Alphacoronavirus","Pedacovirus","Pipistrellus_coromandra"
"17","Anthony","Vespertilionidae","Myotis","Myotis_horsfieldii","Alphacoronavirus","Pedacovirus","Myotis_horsfieldii"
"18","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_rex","Alphacoronavirus","Rhinacovirus","Rhinolophus_rex"
"19","Anthony","Hipposideridae","Hipposideros","Hipposideros_pratti","Alphacoronavirus","Rhinacovirus","Hipposideros_pratti"
"20","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_ferrumequinum","Alphacoronavirus","","Rhinolophus_ferrumequinum"
"21","Anthony","Pteropodidae","Pteropus","Pteropus_giganteus","Alphacoronavirus","Tegacovirus","Pteropus_giganteus"
"22","Anthony","Vespertilionidae","Myotis","Myotis_davidii","Alphacoronavirus","","Myotis_davidii"
"23","Anthony","Miniopteridae","Miniopterus","Miniopterus_schreibersii","Alphacoronavirus","","Miniopterus_schreibersii"
"24","Anthony","Vespertilionidae","Murina","Murina_leucogaster","Alphacoronavirus","","Murina_leucogaster"
"25","Anthony","Hipposideridae","Hipposideros","Hipposideros_larvatus","Alphacoronavirus","","Hipposideros_larvatus"
"26","Anthony","Molossidae","Chaerephon","Chaerephon_pumilus","Alphacoronavirus","","Chaerephon_pumilus"
"27","Anthony","Miniopteridae","Miniopterus","Miniopterus_inflatus","Alphacoronavirus","","Miniopterus_inflatus"
"28","Anthony","Miniopteridae","Miniopterus","Miniopterus_natalensis","Alphacoronavirus","","Miniopterus_natalensis"
"29","Anthony","Mystacinidae","Mystacina","Mystacina_tuberculata","Alphacoronavirus","","Mystacina_tuberculata"
"30","Anthony","Hipposideridae","Hipposideros","Hipposideros_diadema","Alphacoronavirus","","Hipposideros_diadema"
"31","Anthony","Hipposideridae","Hipposideros","Hipposideros_bicolor","Alphacoronavirus","","Hipposideros_bicolor"
"32","Anthony","Hipposideridae","Hipposideros","Hipposideros_gigas","Alphacoronavirus","","Hipposideros_gigas"
"33","Anthony","Hipposideridae","Triaenops","Triaenops_persicus","Alphacoronavirus","","Triaenops_persicus"
"34","Anthony","Hipposideridae","Triaenops","Triaenops_afer","Alphacoronavirus","","Triaenops_persicus"
"35","Anthony","Phyllostomidae","Sturnira","Sturnira_erythromos","Alphacoronavirus","","Sturnira_erythromos"
"36","Anthony","Phyllostomidae","Anoura","Anoura_caudifer","Alphacoronavirus","","Anoura_caudifer"
"37","Anthony","Phyllostomidae","Sturnira","Sturnira_lilium","Alphacoronavirus","","Sturnira_lilium"
"38","Anthony","Phyllostomidae","Artibeus","Artibeus_lituratus","Alphacoronavirus","","Artibeus_lituratus"
"39","Anthony","Phyllostomidae","Glossophaga","Glossophaga_soricina","Alphacoronavirus","","Glossophaga_soricina"
"40","Anthony","Phyllostomidae","Lichonycteris","Lichonycteris_obscura","Alphacoronavirus","","Lichonycteris_obscura"
"41","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_shameli","Alphacoronavirus","","Rhinolophus_shameli"
"42","Anthony","Vespertilionidae","Scotophilus","Scotophilus_kuhlii","Alphacoronavirus","","Scotophilus_kuhlii"
"43","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_coromandra","Alphacoronavirus","","Pipistrellus_coromandra"
"44","Anthony","Miniopteridae","Miniopterus","Miniopterus_magnater","Alphacoronavirus","","Miniopterus_magnater"
"45","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_coelophyllus","Alphacoronavirus","","Rhinolophus_coelophyllus"
"46","Anthony","Hipposideridae","Hipposideros","Hipposideros_lekaguli","Alphacoronavirus","","Hipposideros_lekaguli"
"47","Anthony","Phyllostomidae","Artibeus","Artibeus_planirostris","Alphacoronavirus","","Artibeus_jamaicensis"
"48","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_pipistrellus","Alphacoronavirus","","Pipistrellus_pipistrellus"
"49","Anthony","Vespertilionidae","Myotis","Myotis_daubentonii","Alphacoronavirus","","Myotis_daubentonii"
"50","Anthony","Vespertilionidae","Myotis","Myotis_longipes","Alphacoronavirus","","Myotis_longipes"
"51","Anthony","Vespertilionidae","Myotis","Myotis_myotis","Alphacoronavirus","","Myotis_myotis"
"52","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_sinicus","Alphacoronavirus","","Rhinolophus_sinicus"
"53","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Alphacoronavirus","","Rhinolophus_affinis"
"54","Anthony","Vespertilionidae","Scotophilus","Scotophilus_dinganii","Alphacoronavirus","","Scotophilus_dinganii"
"55","Anthony","Phyllostomidae","Mesophylla","Mesophylla_macconnelli","Alphacoronavirus","","Mesophylla_macconnelli"
"56","Anthony","Vespertilionidae","Scotophilus","Scotophilus_leucogaster","Alphacoronavirus","","Scotophilus_leucogaster"
"57","Anthony","Molossidae","Mops","Mops_condylurus","Alphacoronavirus","","Mops_condylurus"
"58","Anthony","Vespertilionidae","Scotophilus","Scotophilus_nux","Alphacoronavirus","","Scotophilus_nux"
"59","Anthony","Pteropodidae","Pteropus","Pteropus_giganteus","Alphacoronavirus","","Pteropus_giganteus"
"60","Anthony","Pteropodidae","Eonycteris","Eonycteris_spelaea","Alphacoronavirus","","Eonycteris_spelaea"
"61","Anthony","Hipposideridae","Hipposideros","Hipposideros_armiger","Alphacoronavirus","","Hipposideros_armiger"
"62","Anthony","Vespertilionidae","Eptesicus","Eptesicus_fuscus","Alphacoronavirus","","Eptesicus_fuscus"
"63","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_euryale","Alphacoronavirus","","Rhinolophus_euryale"
"64","Anthony","Miniopteridae","Miniopterus","Miniopterus_australis","Alphacoronavirus","","Miniopterus_australis"
"65","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_megaphyllus","Alphacoronavirus","","Rhinolophus_megaphyllus"
"66","Anthony","Vespertilionidae","Myotis","Myotis_macropus","Alphacoronavirus","","Myotis_macropus"
"67","Anthony","Rhinopomatidae","Rhinopoma","Rhinopoma_hardwickii","Alphacoronavirus","","Rhinopoma_hardwickii"
"68","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_kuhlii","Alphacoronavirus","","Pipistrellus_kuhlii"
"69","Anthony","Pteropodidae","Cynopterus","Cynopterus_sphinx","Alphacoronavirus","","Cynopterus_sphinx"
"70","Anthony","Vespertilionidae","Tylonycteris","Tylonycteris_robustula","Alphacoronavirus","","Tylonycteris_robustula"
"71","Anthony","Vespertilionidae","Myotis","Myotis_velifer","Alphacoronavirus","","Myotis_velifer"
"72","Anthony","Molossidae","Tadarida","Tadarida_brasiliensis","Alphacoronavirus","","Tadarida_brasiliensis"
"73","Anthony","Phyllostomidae","Carollia","Carollia_sowelli","Alphacoronavirus","","Carollia_brevicauda"
"74","Anthony","Phyllostomidae","Artibeus","Artibeus_jamaicensis","Alphacoronavirus","","Artibeus_jamaicensis"
"75","Anthony","Phyllostomidae","Carollia","Carollia_perspicillata","Alphacoronavirus","","Carollia_perspicillata"
"76","Anthony","Phyllostomidae","Lonchorhina","Lonchorhina_aurita","Alphacoronavirus","","Lonchorhina_aurita"
"77","Anthony","Vespertilionidae","Myotis","Myotis_riparius","Alphacoronavirus","","Myotis_riparius"
"78","Anthony","Vespertilionidae","Myotis","Myotis_nigricans","Alphacoronavirus","","Myotis_nigricans"
"79","Anthony","Molossidae","Molossus","Molossus_rufus","Alphacoronavirus","","Molossus_rufus"
"80","Anthony","Vespertilionidae","Myotis","Myotis_nattereri","Alphacoronavirus","","Myotis_nattereri"
"81","Anthony","Megadermatidae","Cardioderma","Cardioderma_cor","Alphacoronavirus","","Cardioderma_cor"
"82","Anthony","Vespertilionidae","Myotis","Myotis_horsfieldii","Alphacoronavirus","","Myotis_horsfieldii"
"83","Anthony","Pteropodidae","Epomophorus","Epomophorus_gambianus","Alphacoronavirus","","Epomophorus_gambianus"
"84","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_inexspectatus","Alphacoronavirus","","Pipistrellus_inexspectatus"
"85","Anthony","Pteropodidae","Micropteropus","Micropteropus_pusillus","Alphacoronavirus","","Micropteropus_pusillus"
"86","Anthony","Pteropodidae","Megaloglossus","Megaloglossus_woermanni","Alphacoronavirus","","Megaloglossus_woermanni"
"87","Anthony","Pteropodidae","Eidolon","Eidolon_helvum","Alphacoronavirus","","Eidolon_helvum"
"88","Anthony","Vespertilionidae","Myotis","Myotis_emarginatus","Alphacoronavirus","","Myotis_emarginatus"
"89","Anthony","Molossidae","Cynomops","Cynomops_abrasus","Alphacoronavirus","","Cynomops_abrasus"
"90","Anthony","Molossidae","Cynomops","Cynomops_planirostris","Alphacoronavirus","","Cynomops_planirostris"
"91","Anthony","Phyllostomidae","Desmodus","Desmodus_rotundus","Alphacoronavirus","","Desmodus_rotundus"
"92","Anthony","Vespertilionidae","Perimyotis","Perimyotis_subflavus","Alphacoronavirus","","Pipistrellus_subflavus"
"93","Anthony","Vespertilionidae","Chalinolobus","Chalinolobus_gouldii","Alphacoronavirus","","Chalinolobus_gouldii"
"94","Anthony","Vespertilionidae","Falsistrellus","Falsistrellus_mackenziei","Alphacoronavirus","","Falsistrellus_mackenziei"
"95","Anthony","Vespertilionidae","Vespadelus","Vespadelus_regulus","Alphacoronavirus","","Vespadelus_regulus"
"96","Anthony","Vespertilionidae","Vespadelus","Vespadelus_baverstocki","Alphacoronavirus","","Vespadelus_baverstocki"
"97","Anthony","Vespertilionidae","Chalinolobus","Chalinolobus_morio","Alphacoronavirus","","Chalinolobus_morio"
"98","Anthony","Vespertilionidae","Neoromicia","Neoromicia_capensis","Alphacoronavirus","","Neoromicia_capensis"
"99","Anthony","Vespertilionidae","Myotis","Myotis_brandtii","Alphacoronavirus","","Myotis_brandtii"
"100","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_capensis","Alphacoronavirus","","Rhinolophus_capensis"
"101","Anthony","Vespertilionidae","Neoromicia","Neoromicia_nana","Alphacoronavirus","","Neoromicia_nanus"
"102","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_clivosus","Alphacoronavirus","","Rhinolophus_clivosus"
"103","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_simulator","Alphacoronavirus","","Rhinolophus_simulator"
"104","Anthony","Vespertilionidae","Myotis","Myotis_punicus","Alphacoronavirus","","Myotis_punicus"
"105","Anthony","Vespertilionidae","Eptesicus","Eptesicus_serotinus","Alphacoronavirus","","Eptesicus_serotinus"
"106","Anthony","Vespertilionidae","Myotis","Myotis_capaccinii","Alphacoronavirus","","Myotis_capaccinii"
"107","Anthony","Vespertilionidae","Pipistrellus","Pipistrellus_abramus","Alphacoronavirus","","Pipistrellus_abramus"
"108","Anthony","Vespertilionidae","Myotis","Myotis_volans","Alphacoronavirus","","Myotis_volans"
"109","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_stheno","Alphacoronavirus","","Rhinolophus_stheno"
"110","Anthony","Pteropodidae","Rousettus","Rousettus_leschenaultii","Alphacoronavirus","","Rousettus_leschenaultii"
"111","Anthony","Hipposideridae","Hipposideros","Hipposideros_pomona","Alphacoronavirus","","Hipposideros_pomona"
"112","Anthony","Vespertilionidae","Myotis","Myotis_blythii","Alphacoronavirus","","Myotis_blythii"
"113","Anthony","Vespertilionidae","Hypsugo","Hypsugo_savii","Alphacoronavirus","","Hypsugo_savii"
"114","Anthony","Vespertilionidae","Nyctalus","Nyctalus_lasiopterus","Alphacoronavirus","","Nyctalus_lasiopterus"
"115","Anthony","Hipposideridae","Hipposideros","Hipposideros_larvatus","Alphacoronavirus","Decacovirus","Hipposideros_larvatus"
"116","Anthony","Hipposideridae","Hipposideros","Hipposideros_pomona","Alphacoronavirus","Decacovirus","Hipposideros_pomona"
"117","Anthony","Pteropodidae","Rousettus","Rousettus_aegyptiacus","Alphacoronavirus","Duvinacovirus","Rousettus_aegyptiacus"
"118","Anthony","Miniopteridae","Miniopterus","Miniopterus_pusillus","Alphacoronavirus","Minunacovirus","Miniopterus_pusillus"
"119","Anthony","Rhinolophidae","Rhinolophus","Rhinolophus_affinis","Alphacoronavirus","Rhinacovirus","Rhinolophus_affinis"
"120","HP3","Hipposideridae","Hipposideros","Hipposideros_caffer","Alphavirus","","Hipposideros_caffer"
