"","unique_name","betacov","sarbecov","preds_allbetacov","preds_sarbecovirus"
"Megaerops_kusnotoi","Megaerops_kusnotoi",0,0,0.047112462681757,0.00204290091930575
"Megaerops_niphanae","Megaerops_niphanae",1,0,0.047112462681757,0.00204290091930575
"Megaerops_wetmorei","Megaerops_wetmorei",0,0,0.047112462681757,0.00204290091930575
"Cynopterus_sphinx","Cynopterus_sphinx",1,0,0.047112462681757,0.00204290091930575
"Cynopterus_brachyotis","Cynopterus_brachyotis",1,0,0.047112462681757,0.00204290091930575
"Cynopterus_luzoniensis","Cynopterus_luzoniensis",0,0,0.047112462681757,0.00204290091930575
"Cynopterus_minutus","Cynopterus_minutus",0,0,0.047112462681757,0.00204290091930575
"Cynopterus_nusatenggara","Cynopterus_nusatenggara",0,0,0.047112462681757,0.00204290091930575
"Cynopterus_horsfieldii","Cynopterus_horsfieldii",1,0,0.121827411167512,0.00204290091930575
"Cynopterus_titthaecheilus","Cynopterus_titthaecheilus",0,0,0.121827411167512,0.00204290091930575
"Rousettus_bidens","Rousettus_bidens",0,0,0.121827411167512,0.00204290091930575
"Lissonycteris_angolensis","Lissonycteris_angolensis",0,0,0.121827411167512,0.00204290091930575
"Megaloglossus_woermanni","Megaloglossus_woermanni",1,0,0.121827411167512,0.00204290091930575
"Eidolon_helvum","Eidolon_helvum",1,0,0.121827411167512,0.00204290091930575
"Eidolon_dupreanum","Eidolon_dupreanum",1,0,0.121827411167512,0.00204290091930575
"Myonycteris_relicta","Myonycteris_relicta",0,0,0.121827411167512,0.00204290091930575
"Myonycteris_brachycephala","Myonycteris_brachycephala",0,0,0.047112462681757,0.00204290091930575
"Myonycteris_torquata","Myonycteris_torquata",0,0,0.047112462681757,0.00204290091930575
"Rousettus_lanosus","Rousettus_lanosus",0,0,0.047112462681757,0.00204290091930575
"Rousettus_aegyptiacus","Rousettus_aegyptiacus",1,0,0.047112462681757,0.00204290091930575
"Rousettus_amplexicaudatus","Rousettus_amplexicaudatus",1,0,0.047112462681757,0.00204290091930575
"Rousettus_celebensis","Rousettus_celebensis",0,0,0.121827411167512,0.00204290091930575
