"","tree","bats"
"187","Antechinus_flavipes","other"
"188","Antechinus_godmani","other"
"189","Antechinus_leo","other"
"190","Antechinus_minimus","other"
"191","Antechinus_stuartii","other"
"192","Antechinus_swainsonii","other"
"193","Anthops_ornatus","bats"
"194","Antidorcas_marsupialis","other"
"195","Antilocapra_americana","other"
"196","Antilope_cervicapra","other"
"197","Antrozous_pallidus","bats"
"198","Aonyx_capensis","other"
"199","Aonyx_cinerea","other"
"200","Aotus_azarae","other"
"201","Aotus_hershkovitzi","other"
"202","Aotus_lemurinus","other"
"203","Aotus_miconax","other"
"204","Aotus_nancymaae","other"
"205","Aotus_nigriceps","other"
"206","Aotus_trivirgatus","other"
"207","Aotus_vociferans","other"
"208","Aplodontia_rufa","other"
"209","Apodemus_agrarius","other"
"210","Apodemus_alpicola","other"
"211","Apodemus_argenteus","other"
"212","Apodemus_chevrieri","other"
"213","Apodemus_draco","other"
"214","Apodemus_epimelas","other"
"215","Apodemus_flavicollis","other"
"216","Apodemus_gurkha","other"
"217","Apodemus_hyrcanicus","other"
"218","Apodemus_latronum","other"
"219","Apodemus_mystacinus","other"
"220","Apodemus_pallipes","other"
"221","Apodemus_peninsulae","other"
"222","Apodemus_ponticus","other"
"223","Apodemus_rusiges","other"
"224","Apodemus_semotus","other"
"225","Apodemus_speciosus","other"
"226","Apodemus_sylvaticus","other"
"227","Apodemus_uralensis","other"
"228","Apodemus_witherbyi","other"
"229","Apomys_abrae","other"
"230","Apomys_datae","other"
"231","Apomys_hylocetes","other"
"232","Apomys_insignis","other"
"233","Apomys_littoralis","other"
"234","Apomys_microdon","other"
"235","Apomys_musculus","other"
"236","Apomys_sacobianus","other"
"237","Aproteles_bulmerae","bats"
"238","Arborimus_albipes","other"
"239","Arborimus_longicaudus","other"
"240","Arborimus_pomo","other"
"241","Archboldomys_luzonensis","other"
"242","Arctictis_binturong","other"
"243","Arctocebus_aureus","other"
"244","Arctocebus_calabarensis","other"
"245","Arctocephalus_australis","other"
"246","Arctocephalus_forsteri","other"
"247","Arctocephalus_galapagoensis","other"
"248","Arctocephalus_gazella","other"
"249","Arctocephalus_philippii","other"
"250","Arctocephalus_pusillus","other"
"251","Arctocephalus_townsendi","other"
"252","Arctocephalus_tropicalis","other"
"253","Arctogalidia_trivirgata","other"
"254","Arctonyx_collaris","other"
"255","Ardops_nichollsi","bats"
"256","Arielulus_circumdatus","bats"
"257","Arielulus_cuprosus","bats"
"258","Arielulus_societatis","bats"
"259","Ariteus_flavescens","bats"
"260","Artibeus_amplus","bats"
"261","Artibeus_anderseni","bats"
"262","Artibeus_aztecus","bats"
"263","Artibeus_cinereus","bats"
"264","Artibeus_concolor","bats"
"265","Artibeus_fimbriatus","bats"
"266","Artibeus_fraterculus","bats"
"267","Artibeus_glaucus","bats"
"268","Artibeus_gnomus","bats"
"269","Artibeus_hirsutus","bats"
"270","Artibeus_inopinatus","bats"
"271","Artibeus_jamaicensis","bats"
"272","Artibeus_lituratus","bats"
"273","Artibeus_obscurus","bats"
"274","Artibeus_phaeotis","bats"
"275","Artibeus_toltecus","bats"
"276","Artibeus_watsoni","bats"
"277","Arvicanthis_abyssinicus","other"
"278","Arvicanthis_ansorgei","other"
"279","Arvicanthis_blicki","other"
"280","Arvicanthis_nairobae","other"
"281","Arvicanthis_neumanni","other"
"282","Arvicanthis_niloticus","other"
"283","Arvicanthis_rufinus","other"
"284","Arvicola_amphibius","other"
"285","Arvicola_sapidus","other"
"286","Arvicola_scherman","other"
"287","Asellia_patrizii","bats"
"288","Asellia_tridens","bats"
"289","Aselliscus_stoliczkanus","bats"
"290","Aselliscus_tricuspidatus","bats"
"291","Atelerix_albiventris","other"
"292","Atelerix_algirus","other"
"293","Atelerix_frontalis","other"
"294","Atelerix_sclateri","other"
"295","Ateles_belzebuth","other"
"296","Ateles_chamek","other"
"297","Ateles_fusciceps","other"
"298","Ateles_geoffroyi","other"
"299","Ateles_hybridus","other"
"300","Ateles_marginatus","other"
"301","Ateles_paniscus","other"
"302","Atelocynus_microtis","other"
"303","Atherurus_africanus","other"
"304","Atherurus_macrourus","other"
"305","Atilax_paludinosus","other"
"306","Atlantoxerus_getulus","other"
"307","Auliscomys_boliviensis","other"
"308","Auliscomys_pictus","other"
"309","Auliscomys_sublimis","other"
"310","Avahi_laniger","other"
"311","Avahi_occidentalis","other"
"312","Axis_axis","other"
"313","Axis_calamianensis","other"
"314","Axis_kuhlii","other"
"315","Axis_porcinus","other"
"316","Babyrousa_babyrussa","other"
"317","Babyrousa_bolabatuensis","other"
"318","Babyrousa_celebensis","other"
"319","Babyrousa_togeanensis","other"
"320","Baiomys_musculus","other"
"321","Baiomys_taylori","other"
"322","Balaena_mysticetus","other"
"323","Balaenoptera_acutorostrata","other"
"324","Balaenoptera_bonaerensis","other"
"325","Balaenoptera_borealis","other"
"326","Balaenoptera_edeni","other"
"327","Balaenoptera_musculus","other"
"328","Balaenoptera_physalus","other"
"329","Balantiopteryx_infusca","bats"
"330","Balantiopteryx_io","bats"
"331","Balantiopteryx_plicata","bats"
"332","Balionycteris_maculata","bats"
"333","Bandicota_bengalensis","other"
"334","Bandicota_indica","other"
"335","Bandicota_savilei","other"
"336","Barbastella_barbastellus","bats"
"337","Barbastella_leucomelas","bats"
"338","Bassaricyon_alleni","other"
"339","Bassaricyon_beddardi","other"
"340","Bassaricyon_gabbii","other"
"341","Bassaricyon_lasius","other"
"342","Bassaricyon_pauli","other"
"343","Bassariscus_astutus","other"
"344","Bassariscus_sumichrasti","other"
"345","Bathyergus_janetta","other"
"346","Bathyergus_suillus","other"
"347","Batomys_dentatus","other"
"348","Batomys_granti","other"
"349","Batomys_salomonseni","other"
"350","Bauerus_dubiaquercus","bats"
"351","Bdeogale_crassicauda","other"
"352","Bdeogale_jacksoni","other"
"353","Bdeogale_nigripes","other"
"354","Beamys_hindei","other"
"355","Beamys_major","other"
"356","Beatragus_hunteri","other"
"357","Belomys_pearsonii","other"
"358","Berardius_arnuxii","other"
"359","Berardius_bairdii","other"
"360","Berylmys_berdmorei","other"
"361","Berylmys_bowersi","other"
"362","Berylmys_mackenziei","other"
"363","Berylmys_manipulus","other"
"364","Bettongia_gaimardi","other"
"365","Bettongia_lesueur","other"
"366","Bettongia_penicillata","other"
"367","Bettongia_tropica","other"
"368","Bibimys_chacoensis","other"
"369","Bibimys_labiosus","other"
"370","Bibimys_torresi","other"
"371","Bison_bison","other"
"372","Bison_bonasus","other"
"373","Biswamoyopterus_biswasi","other"
"374","Blanfordimys_afghanus","other"
"375","Blanfordimys_bucharensis","other"
"376","Blarina_brevicauda","other"
"377","Blarina_carolinensis","other"
"378","Blarina_hylophaga","other"
"379","Blarina_peninsulae","other"
"380","Blarinella_griselda","other"
"381","Blarinella_quadraticauda","other"
"382","Blarinella_wardi","other"
"383","Blarinomys_breviceps","other"
"384","Blastocerus_dichotomus","other"
"385","Bos_frontalis","other"
"386","Bos_grunniens","other"
"387","Bos_javanicus","other"
"388","Bos_sauveli","other"
"389","Bos_taurus","other"
"390","Boselaphus_tragocamelus","other"
"391","Brachiones_przewalskii","other"
"392","Brachylagus_idahoensis","other"
"393","Brachyphylla_cavernarum","bats"
"394","Brachyphylla_nana","bats"
"395","Brachytarsomys_albicauda","other"
"396","Brachytarsomys_villosa","other"
"397","Brachyteles_arachnoides","other"
"398","Brachyteles_hypoxanthus","other"
"399","Brachyuromys_betsileoensis","other"
"400","Brachyuromys_ramirohitra","other"
"401","Bradypus_torquatus","other"
"402","Bradypus_tridactylus","other"
"403","Bradypus_variegatus","other"
"404","Brucepattersonius_iheringi","other"
"405","Bubalus_bubalis","other"
"406","Bubalus_depressicornis","other"
"407","Bubalus_mindorensis","other"
"408","Bubalus_quarlesi","other"
"409","Budorcas_taxicolor","other"
"410","Bullimus_bagobus","other"
"411","Bullimus_luzonicus","other"
"412","Bunolagus_monticularis","other"
"413","Bunomys_andrewsi","other"
"414","Bunomys_chrysocomus","other"
"415","Bunomys_coelestis","other"
"416","Bunomys_fratrorum","other"
"417","Bunomys_penitus","other"
"418","Bunomys_prolatus","other"
"419","Bunopithecus_hoolock","other"
"420","Burramys_parvus","other"
"421","Cabassous_centralis","other"
"422","Cabassous_chacoensis","other"
"423","Cabassous_tatouay","other"
"424","Cabassous_unicinctus","other"
"425","Cacajao_calvus","other"
"426","Cacajao_melanocephalus","other"
"427","Caenolestes_caniventer","other"
"428","Caenolestes_convelatus","other"
"429","Caenolestes_fuliginosus","other"
"430","Calcochloris_leucorhinus","other"
"431","Calcochloris_obtusirostris","other"
"432","Calcochloris_tytonis","other"
"433","Callicebus_baptista","other"
"434","Callicebus_barbarabrownae","other"
"435","Callicebus_brunneus","other"
"436","Callicebus_caligatus","other"
"437","Callicebus_cinerascens","other"
"438","Callicebus_cupreus","other"
"439","Callicebus_discolor","other"
"440","Callicebus_donacophilus","other"
"441","Callicebus_dubius","other"
"442","Callicebus_hoffmannsi","other"
"443","Callicebus_lucifer","other"
"444","Callicebus_lugens","other"
"445","Callicebus_medemi","other"
"446","Callicebus_melanochir","other"
"447","Callicebus_modestus","other"
"448","Callicebus_moloch","other"
"449","Callicebus_nigrifrons","other"
"450","Callicebus_oenanthe","other"
"451","Callicebus_olallae","other"
"452","Callicebus_ornatus","other"
"453","Callicebus_pallescens","other"
"454","Callicebus_personatus","other"
"455","Callicebus_purinus","other"
"456","Callicebus_regulus","other"
"457","Callicebus_torquatus","other"
"458","Callimico_goeldii","other"
"459","Callistomys_pictus","other"
"460","Callithrix_argentata","other"
"461","Callithrix_aurita","other"
"462","Callithrix_chrysoleuca","other"
"463","Callithrix_emiliae","other"
"464","Callithrix_flaviceps","other"
"465","Callithrix_geoffroyi","other"
"466","Callithrix_humeralifera","other"
"467","Callithrix_intermedia","other"
"468","Callithrix_jacchus","other"
"469","Callithrix_kuhlii","other"
"470","Callithrix_leucippe","other"
"471","Callithrix_melanura","other"
"472","Callithrix_penicillata","other"
"473","Callithrix_pygmaea","other"
"474","Callorhinus_ursinus","other"
"475","Callosciurus_adamsi","other"
"476","Callosciurus_albescens","other"
"477","Callosciurus_baluensis","other"
"478","Callosciurus_caniceps","other"
"479","Callosciurus_finlaysonii","other"
"480","Callosciurus_inornatus","other"
"481","Callosciurus_melanogaster","other"
"482","Callosciurus_nigrovittatus","other"
"483","Callosciurus_notatus","other"
"484","Callosciurus_orestes","other"
"485","Callosciurus_phayrei","other"
"486","Callosciurus_prevostii","other"
"487","Callosciurus_pygerythrus","other"
"488","Callosciurus_quinquestriatus","other"
"489","Calomys_boliviae","other"
"490","Calomys_callidus","other"
"491","Calomys_callosus","other"
"492","Calomys_expulsus","other"
"493","Calomys_hummelincki","other"
"494","Calomys_laucha","other"
"495","Calomys_lepidus","other"
"496","Calomys_musculinus","other"
"497","Calomys_sorellus","other"
"498","Calomys_tener","other"
"499","Calomys_venustus","other"
"500","Calomyscus_bailwardi","other"
"501","Calomyscus_baluchi","other"
"502","Calomyscus_elburzensis","other"
"503","Calomyscus_grandis","other"
"504","Calomyscus_hotsoni","other"
"505","Calomyscus_mystax","other"
"506","Calomyscus_tsolovi","other"
"507","Calomyscus_urartensis","other"
"508","Caluromys_derbianus","other"
"509","Caluromys_lanatus","other"
"510","Caluromys_philander","other"
"511","Caluromysiops_irrupta","other"
"512","Calyptophractus_retusus","other"
"513","Camelus_bactrianus","other"
"514","Camelus_dromedarius","other"
"515","Canis_adustus","other"
"516","Canis_aureus","other"
"517","Canis_latrans","other"
"518","Canis_lupus","other"
"519","Canis_mesomelas","other"
"520","Canis_simensis","other"
"521","Cannomys_badius","other"
"522","Cansumys_canus","other"
"523","Caperea_marginata","other"
"524","Capra_caucasica","other"
"525","Capra_falconeri","other"
"526","Capra_hircus","other"
"527","Capra_ibex","other"
"528","Capra_nubiana","other"
"529","Capra_pyrenaica","other"
"530","Capra_sibirica","other"
"531","Capra_walie","other"
"532","Capreolus_capreolus","other"
"533","Capreolus_pygargus","other"
"534","Capricornis_crispus","other"
"535","Capricornis_milneedwardsii","other"
"536","Capricornis_rubidus","other"
"537","Capricornis_sumatraensis","other"
"538","Capricornis_swinhoei","other"
"539","Capricornis_thar","other"
"540","Caprolagus_hispidus","other"
"541","Capromys_gundlachianus","other"
"542","Capromys_pilorides","other"
"543","Caracal_caracal","other"
"544","Cardiocranius_paradoxus","other"
"545","Cardioderma_cor","bats"
"546","Carollia_brevicauda","bats"
"547","Carollia_castanea","bats"
"548","Carollia_perspicillata","bats"
"549","Carollia_subrufa","bats"
"550","Carpitalpa_arendsi","other"
"551","Carpomys_melanurus","other"
"552","Carpomys_phaeurus","other"
"553","Carterodon_sulcidens","other"
"554","Caryomys_eva","other"
"555","Caryomys_inez","other"
"556","Casinycteris_argynnis","bats"
"557","Castor_canadensis","other"
"558","Castor_fiber","other"
"559","Catagonus_wagneri","other"
"560","Catopuma_badia","other"
"561","Catopuma_temminckii","other"
"562","Cavia_aperea","other"
"563","Cavia_fulgida","other"
"564","Cavia_magna","other"
"565","Cavia_porcellus","other"
"566","Cavia_tschudii","other"
"567","Cebus_albifrons","other"
"568","Cebus_apella","other"
"569","Cebus_capucinus","other"
"570","Cebus_libidinosus","other"
"571","Cebus_nigritus","other"
"572","Cebus_olivaceus","other"
"573","Cebus_xanthosternos","other"
"574","Centronycteris_centralis","bats"
"575","Centronycteris_maximiliani","bats"
"576","Centurio_senex","bats"
"577","Cephalophus_adersi","other"
"578","Cephalophus_brookei","other"
"579","Cephalophus_callipygus","other"
"580","Cephalophus_dorsalis","other"
"581","Cephalophus_jentinki","other"
"582","Cephalophus_leucogaster","other"
"583","Cephalophus_natalensis","other"
"584","Cephalophus_niger","other"
"585","Cephalophus_nigrifrons","other"
"586","Cephalophus_ogilbyi","other"
"587","Cephalophus_rufilatus","other"
"588","Cephalophus_silvicultor","other"
"589","Cephalophus_spadix","other"
"590","Cephalophus_weynsi","other"
"591","Cephalophus_zebra","other"
"592","Cephalorhynchus_commersonii","other"
"593","Cephalorhynchus_eutropia","other"
"594","Cephalorhynchus_heavisidii","other"
"595","Cephalorhynchus_hectori","other"
"596","Ceratotherium_simum","other"
"597","Cercartetus_caudatus","other"
"598","Cercartetus_concinnus","other"
"599","Cercartetus_lepidus","other"
"600","Cercartetus_nanus","other"
"601","Cercocebus_agilis","other"
"602","Cercocebus_atys","other"
"603","Cercocebus_chrysogaster","other"
"604","Cercocebus_galeritus","other"
"605","Cercocebus_torquatus","other"
"606","Cercopithecus_albogularis","other"
"607","Cercopithecus_ascanius","other"
"608","Cercopithecus_campbelli","other"
